Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas1490        Pavarde1490                     2.36            3.00
Vardas1754        Pavarde1754                     2.36            2.60
Vardas1801        Pavarde1801                     2.36            2.20
Vardas2334        Pavarde2334                     2.36            2.60
Vardas2484        Pavarde2484                     2.36            2.60
Vardas2609        Pavarde2609                     2.36            2.20
Vardas2828        Pavarde2828                     2.36            1.80
Vardas3210        Pavarde3210                     2.36            2.20
Vardas3474        Pavarde3474                     2.36            1.80
Vardas3632        Pavarde3632                     2.36            1.80
Vardas3924        Pavarde3924                     2.36            2.20
Vardas4127        Pavarde4127                     2.36            1.80
Vardas4131        Pavarde4131                     2.36            2.20
Vardas4667        Pavarde4667                     2.36            2.60
Vardas4965        Pavarde4965                     2.36            2.60
Vardas5394        Pavarde5394                     2.36            2.60
Vardas5562        Pavarde5562                     2.36            2.60
Vardas5734        Pavarde5734                     2.36            2.60
Vardas5837        Pavarde5837                     2.36            2.20
Vardas6694        Pavarde6694                     2.36            1.80
Vardas7040        Pavarde7040                     2.36            1.80
Vardas719         Pavarde719                      2.36            2.20
Vardas7704        Pavarde7704                     2.36            1.80
Vardas8084        Pavarde8084                     2.36            1.80
Vardas8352        Pavarde8352                     2.36            2.20
Vardas8559        Pavarde8559                     2.36            1.80
Vardas8645        Pavarde8645                     2.36            2.60
Vardas8666        Pavarde8666                     2.36            2.60
Vardas8742        Pavarde8742                     2.36            1.80
Vardas9145        Pavarde9145                     2.36            2.20
Vardas9162        Pavarde9162                     2.36            2.20
Vardas9333        Pavarde9333                     2.36            2.20
Vardas9414        Pavarde9414                     2.36            2.20
Vardas9497        Pavarde9497                     2.36            1.80
Vardas9975        Pavarde9975                     2.36            2.20
Vardas1814        Pavarde1814                     2.40            2.00
Vardas2446        Pavarde2446                     2.40            2.00
Vardas2635        Pavarde2635                     2.40            2.40
Vardas3372        Pavarde3372                     2.40            2.00
Vardas3698        Pavarde3698                     2.40            1.60
Vardas4468        Pavarde4468                     2.40            2.40
Vardas503         Pavarde503                      2.40            2.00
Vardas5073        Pavarde5073                     2.40            2.00
Vardas6593        Pavarde6593                     2.40            1.60
Vardas7123        Pavarde7123                     2.40            2.80
Vardas7361        Pavarde7361                     2.40            2.40
Vardas795         Pavarde795                      2.40            2.40
Vardas8508        Pavarde8508                     2.40            2.00
Vardas8925        Pavarde8925                     2.40            2.00
Vardas9409        Pavarde9409                     2.40            1.60
Vardas1178        Pavarde1178                     2.44            2.60
Vardas1195        Pavarde1195                     2.44            2.20
Vardas1199        Pavarde1199                     2.44            3.00
Vardas1256        Pavarde1256                     2.44            1.40
Vardas1432        Pavarde1432                     2.44            2.20
Vardas1440        Pavarde1440                     2.44            1.80
Vardas1550        Pavarde1550                     2.44            1.40
Vardas1999        Pavarde1999                     2.44            2.20
Vardas2128        Pavarde2128                     2.44            2.20
Vardas2169        Pavarde2169                     2.44            2.60
Vardas2326        Pavarde2326                     2.44            2.20
Vardas2370        Pavarde2370                     2.44            1.80
Vardas2573        Pavarde2573                     2.44            2.20
Vardas3156        Pavarde3156                     2.44            1.80
Vardas3160        Pavarde3160                     2.44            1.80
Vardas3248        Pavarde3248                     2.44            1.80
Vardas3370        Pavarde3370                     2.44            2.20
Vardas3449        Pavarde3449                     2.44            2.60
Vardas3460        Pavarde3460                     2.44            2.20
Vardas3509        Pavarde3509                     2.44            1.80
Vardas3952        Pavarde3952                     2.44            2.60
Vardas4141        Pavarde4141                     2.44            1.80
Vardas4224        Pavarde4224                     2.44            2.20
Vardas4251        Pavarde4251                     2.44            2.60
Vardas4275        Pavarde4275                     2.44            2.20
Vardas4283        Pavarde4283                     2.44            2.20
Vardas4645        Pavarde4645                     2.44            2.20
Vardas4769        Pavarde4769                     2.44            2.60
Vardas4809        Pavarde4809                     2.44            2.20
Vardas4945        Pavarde4945                     2.44            2.60
Vardas5223        Pavarde5223                     2.44            2.60
Vardas5451        Pavarde5451                     2.44            3.00
Vardas5597        Pavarde5597                     2.44            2.60
Vardas5678        Pavarde5678                     2.44            2.60
Vardas5783        Pavarde5783                     2.44            2.20
Vardas6170        Pavarde6170                     2.44            1.80
Vardas6621        Pavarde6621                     2.44            2.20
Vardas6774        Pavarde6774                     2.44            1.80
Vardas7151        Pavarde7151                     2.44            2.60
Vardas7448        Pavarde7448                     2.44            1.80
Vardas7449        Pavarde7449                     2.44            1.80
Vardas763         Pavarde763                      2.44            2.60
Vardas7737        Pavarde7737                     2.44            2.20
Vardas7997        Pavarde7997                     2.44            2.20
Vardas8114        Pavarde8114                     2.44            2.20
Vardas8398        Pavarde8398                     2.44            2.60
Vardas8458        Pavarde8458                     2.44            1.80
Vardas8781        Pavarde8781                     2.44            2.20
Vardas8850        Pavarde8850                     2.44            1.80
Vardas8859        Pavarde8859                     2.44            2.60
Vardas898         Pavarde898                      2.44            2.20
Vardas9054        Pavarde9054                     2.44            2.20
Vardas9293        Pavarde9293                     2.44            2.20
Vardas9472        Pavarde9472                     2.44            2.20
Vardas9598        Pavarde9598                     2.44            2.60
Vardas9826        Pavarde9826                     2.44            2.20
Vardas9932        Pavarde9932                     2.44            2.20
Vardas2311        Pavarde2311                     2.48            2.00
Vardas2857        Pavarde2857                     2.48            2.00
Vardas5167        Pavarde5167                     2.48            2.00
Vardas5212        Pavarde5212                     2.48            2.40
Vardas5354        Pavarde5354                     2.48            2.00
Vardas6728        Pavarde6728                     2.48            2.00
Vardas9014        Pavarde9014                     2.48            2.40
Vardas9399        Pavarde9399                     2.48            2.00
Vardas9674        Pavarde9674                     2.48            2.40
Vardas1034        Pavarde1034                     2.52            2.60
Vardas1120        Pavarde1120                     2.52            1.40
Vardas1222        Pavarde1222                     2.52            2.60
Vardas126         Pavarde126                      2.52            2.60
Vardas1288        Pavarde1288                     2.52            1.40
Vardas1458        Pavarde1458                     2.52            2.60
Vardas2105        Pavarde2105                     2.52            2.20
Vardas2135        Pavarde2135                     2.52            2.60
Vardas2269        Pavarde2269                     2.52            2.20
Vardas246         Pavarde246                      2.52            1.80
Vardas2463        Pavarde2463                     2.52            2.20
Vardas2711        Pavarde2711                     2.52            2.60
Vardas2746        Pavarde2746                     2.52            1.80
Vardas2881        Pavarde2881                     2.52            2.60
Vardas2898        Pavarde2898                     2.52            2.60
Vardas2903        Pavarde2903                     2.52            3.00
Vardas2905        Pavarde2905                     2.52            2.20
Vardas2932        Pavarde2932                     2.52            2.60
Vardas3536        Pavarde3536                     2.52            3.00
Vardas3839        Pavarde3839                     2.52            3.00
Vardas4232        Pavarde4232                     2.52            2.60
Vardas4343        Pavarde4343                     2.52            2.60
Vardas4437        Pavarde4437                     2.52            2.60
Vardas4598        Pavarde4598                     2.52            2.60
Vardas478         Pavarde478                      2.52            2.60
Vardas4985        Pavarde4985                     2.52            2.60
Vardas5111        Pavarde5111                     2.52            2.20
Vardas5242        Pavarde5242                     2.52            2.60
Vardas5416        Pavarde5416                     2.52            2.20
Vardas5551        Pavarde5551                     2.52            2.60
Vardas5741        Pavarde5741                     2.52            1.80
Vardas6115        Pavarde6115                     2.52            2.20
Vardas641         Pavarde641                      2.52            2.20
Vardas6515        Pavarde6515                     2.52            2.20
Vardas6688        Pavarde6688                     2.52            3.00
Vardas7004        Pavarde7004                     2.52            2.20
Vardas7188        Pavarde7188                     2.52            2.20
Vardas7291        Pavarde7291                     2.52            2.20
Vardas7342        Pavarde7342                     2.52            3.00
Vardas8050        Pavarde8050                     2.52            2.60
Vardas8313        Pavarde8313                     2.52            1.80
Vardas8386        Pavarde8386                     2.52            2.20
Vardas894         Pavarde894                      2.52            3.00
Vardas9079        Pavarde9079                     2.52            2.60
Vardas909         Pavarde909                      2.52            2.20
Vardas9408        Pavarde9408                     2.52            2.60
Vardas9951        Pavarde9951                     2.52            2.20
Vardas1360        Pavarde1360                     2.56            2.00
Vardas1461        Pavarde1461                     2.56            2.40
Vardas1506        Pavarde1506                     2.56            2.00
Vardas1546        Pavarde1546                     2.56            2.40
Vardas2524        Pavarde2524                     2.56            2.80
Vardas2661        Pavarde2661                     2.56            2.80
Vardas2913        Pavarde2913                     2.56            2.80
Vardas2943        Pavarde2943                     2.56            2.00
Vardas3404        Pavarde3404                     2.56            2.40
Vardas4233        Pavarde4233                     2.56            2.40
Vardas4638        Pavarde4638                     2.56            2.40
Vardas4700        Pavarde4700                     2.56            2.40
Vardas523         Pavarde523                      2.56            2.80
Vardas5567        Pavarde5567                     2.56            2.40
Vardas5648        Pavarde5648                     2.56            2.00
Vardas5899        Pavarde5899                     2.56            2.00
Vardas6071        Pavarde6071                     2.56            2.00
Vardas6088        Pavarde6088                     2.56            2.40
Vardas6451        Pavarde6451                     2.56            2.00
Vardas704         Pavarde704                      2.56            2.40
Vardas7624        Pavarde7624                     2.56            2.80
Vardas8322        Pavarde8322                     2.56            2.40
Vardas8626        Pavarde8626                     2.56            2.80
Vardas8748        Pavarde8748                     2.56            3.20
Vardas1329        Pavarde1329                     2.60            2.60
Vardas140         Pavarde140                      2.60            2.60
Vardas1405        Pavarde1405                     2.60            3.40
Vardas1899        Pavarde1899                     2.60            2.60
Vardas1991        Pavarde1991                     2.60            2.60
Vardas2224        Pavarde2224                     2.60            2.60
Vardas2313        Pavarde2313                     2.60            3.00
Vardas2522        Pavarde2522                     2.60            3.00
Vardas2548        Pavarde2548                     2.60            1.80
Vardas255         Pavarde255                      2.60            2.60
Vardas2593        Pavarde2593                     2.60            2.60
Vardas2672        Pavarde2672                     2.60            2.60
Vardas2923        Pavarde2923                     2.60            2.60
Vardas3028        Pavarde3028                     2.60            2.60
Vardas3074        Pavarde3074                     2.60            2.20
Vardas3095        Pavarde3095                     2.60            2.60
Vardas3387        Pavarde3387                     2.60            2.60
Vardas3442        Pavarde3442                     2.60            3.00
Vardas3620        Pavarde3620                     2.60            2.60
Vardas3650        Pavarde3650                     2.60            2.20
Vardas3748        Pavarde3748                     2.60            2.60
Vardas3853        Pavarde3853                     2.60            3.00
Vardas3868        Pavarde3868                     2.60            2.60
Vardas4204        Pavarde4204                     2.60            2.60
Vardas4327        Pavarde4327                     2.60            3.00
Vardas441         Pavarde441                      2.60            2.20
Vardas4603        Pavarde4603                     2.60            2.60
Vardas4640        Pavarde4640                     2.60            2.60
Vardas472         Pavarde472                      2.60            2.60
Vardas4818        Pavarde4818                     2.60            2.60
Vardas5037        Pavarde5037                     2.60            2.60
Vardas5346        Pavarde5346                     2.60            2.20
Vardas5392        Pavarde5392                     2.60            2.20
Vardas5803        Pavarde5803                     2.60            2.60
Vardas6051        Pavarde6051                     2.60            1.80
Vardas6093        Pavarde6093                     2.60            3.00
Vardas6279        Pavarde6279                     2.60            2.60
Vardas6486        Pavarde6486                     2.60            2.60
Vardas6623        Pavarde6623                     2.60            2.60
Vardas6703        Pavarde6703                     2.60            2.20
Vardas672         Pavarde672                      2.60            2.60
Vardas680         Pavarde680                      2.60            2.60
Vardas73          Pavarde73                       2.60            2.60
Vardas7348        Pavarde7348                     2.60            2.60
Vardas7644        Pavarde7644                     2.60            2.20
Vardas7730        Pavarde7730                     2.60            3.00
Vardas7764        Pavarde7764                     2.60            3.00
Vardas7790        Pavarde7790                     2.60            2.60
Vardas799         Pavarde799                      2.60            2.20
Vardas8055        Pavarde8055                     2.60            2.20
Vardas8191        Pavarde8191                     2.60            2.60
Vardas8309        Pavarde8309                     2.60            2.20
Vardas8314        Pavarde8314                     2.60            2.60
Vardas8799        Pavarde8799                     2.60            2.60
Vardas8807        Pavarde8807                     2.60            2.60
Vardas9049        Pavarde9049                     2.60            2.60
Vardas9565        Pavarde9565                     2.60            2.60
Vardas961         Pavarde961                      2.60            2.20
Vardas9711        Pavarde9711                     2.60            2.60
Vardas9722        Pavarde9722                     2.60            2.60
Vardas9845        Pavarde9845                     2.60            2.60
Vardas1086        Pavarde1086                     2.64            2.40
Vardas1695        Pavarde1695                     2.64            2.40
Vardas1968        Pavarde1968                     2.64            2.80
Vardas2425        Pavarde2425                     2.64            2.00
Vardas2669        Pavarde2669                     2.64            2.80
Vardas2836        Pavarde2836                     2.64            2.80
Vardas3023        Pavarde3023                     2.64            2.00
Vardas3169        Pavarde3169                     2.64            2.40
Vardas3178        Pavarde3178                     2.64            2.40
Vardas4226        Pavarde4226                     2.64            2.40
Vardas4405        Pavarde4405                     2.64            2.40
Vardas4557        Pavarde4557                     2.64            2.40
Vardas4867        Pavarde4867                     2.64            2.80
Vardas5254        Pavarde5254                     2.64            2.00
Vardas540         Pavarde540                      2.64            1.60
Vardas5598        Pavarde5598                     2.64            2.80
Vardas6089        Pavarde6089                     2.64            2.80
Vardas6104        Pavarde6104                     2.64            2.40
Vardas7057        Pavarde7057                     2.64            2.00
Vardas7303        Pavarde7303                     2.64            2.40
Vardas7522        Pavarde7522                     2.64            2.80
Vardas8056        Pavarde8056                     2.64            2.00
Vardas8280        Pavarde8280                     2.64            2.40
Vardas8812        Pavarde8812                     2.64            2.40
Vardas9045        Pavarde9045                     2.64            2.00
Vardas9357        Pavarde9357                     2.64            2.40
Vardas9507        Pavarde9507                     2.64            2.80
Vardas9544        Pavarde9544                     2.64            2.80
Vardas103         Pavarde103                      2.68            2.20
Vardas1643        Pavarde1643                     2.68            3.00
Vardas1663        Pavarde1663                     2.68            2.60
Vardas1914        Pavarde1914                     2.68            2.20
Vardas2389        Pavarde2389                     2.68            3.00
Vardas2473        Pavarde2473                     2.68            2.20
Vardas2658        Pavarde2658                     2.68            2.60
Vardas2760        Pavarde2760                     2.68            2.60
Vardas3519        Pavarde3519                     2.68            3.00
Vardas3700        Pavarde3700                     2.68            2.60
Vardas3976        Pavarde3976                     2.68            3.00
Vardas40          Pavarde40                       2.68            3.00
Vardas4045        Pavarde4045                     2.68            1.80
Vardas4065        Pavarde4065                     2.68            3.00
Vardas4130        Pavarde4130                     2.68            2.20
Vardas45          Pavarde45                       2.68            2.60
Vardas4621        Pavarde4621                     2.68            3.40
Vardas4816        Pavarde4816                     2.68            2.20
Vardas4928        Pavarde4928                     2.68            3.40
Vardas5047        Pavarde5047                     2.68            1.80
Vardas5341        Pavarde5341                     2.68            2.60
Vardas5526        Pavarde5526                     2.68            3.00
Vardas556         Pavarde556                      2.68            3.00
Vardas5645        Pavarde5645                     2.68            2.20
Vardas5727        Pavarde5727                     2.68            3.00
Vardas5944        Pavarde5944                     2.68            2.60
Vardas5978        Pavarde5978                     2.68            2.20
Vardas6203        Pavarde6203                     2.68            2.20
Vardas6351        Pavarde6351                     2.68            2.60
Vardas6535        Pavarde6535                     2.68            2.20
Vardas6649        Pavarde6649                     2.68            3.00
Vardas6676        Pavarde6676                     2.68            3.00
Vardas72          Pavarde72                       2.68            1.80
Vardas7478        Pavarde7478                     2.68            2.60
Vardas7511        Pavarde7511                     2.68            2.60
Vardas7625        Pavarde7625                     2.68            3.00
Vardas7899        Pavarde7899                     2.68            2.60
Vardas8058        Pavarde8058                     2.68            2.20
Vardas8156        Pavarde8156                     2.68            3.40
Vardas8339        Pavarde8339                     2.68            2.60
Vardas8373        Pavarde8373                     2.68            2.60
Vardas8442        Pavarde8442                     2.68            2.20
Vardas8594        Pavarde8594                     2.68            2.60
Vardas8840        Pavarde8840                     2.68            2.20
Vardas8883        Pavarde8883                     2.68            2.20
Vardas8903        Pavarde8903                     2.68            3.00
Vardas9140        Pavarde9140                     2.68            2.60
Vardas9191        Pavarde9191                     2.68            3.00
Vardas9276        Pavarde9276                     2.68            2.60
Vardas9613        Pavarde9613                     2.68            1.80
Vardas9732        Pavarde9732                     2.68            3.00
Vardas9945        Pavarde9945                     2.68            3.40
Vardas9971        Pavarde9971                     2.68            3.00
Vardas1191        Pavarde1191                     2.72            2.40
Vardas1397        Pavarde1397                     2.72            2.40
Vardas1767        Pavarde1767                     2.72            2.40
Vardas2197        Pavarde2197                     2.72            2.40
Vardas2246        Pavarde2246                     2.72            3.20
Vardas2253        Pavarde2253                     2.72            2.40
Vardas256         Pavarde256                      2.72            2.00
Vardas2740        Pavarde2740                     2.72            2.80
Vardas3374        Pavarde3374                     2.72            2.40
Vardas3438        Pavarde3438                     2.72            3.20
Vardas3985        Pavarde3985                     2.72            2.00
Vardas4346        Pavarde4346                     2.72            2.80
Vardas4666        Pavarde4666                     2.72            2.00
Vardas5061        Pavarde5061                     2.72            2.40
Vardas5169        Pavarde5169                     2.72            2.40
Vardas5219        Pavarde5219                     2.72            2.40
Vardas5759        Pavarde5759                     2.72            2.00
Vardas6063        Pavarde6063                     2.72            2.40
Vardas6100        Pavarde6100                     2.72            2.80
Vardas6507        Pavarde6507                     2.72            2.40
Vardas6543        Pavarde6543                     2.72            2.00
Vardas6715        Pavarde6715                     2.72            2.80
Vardas712         Pavarde712                      2.72            2.40
Vardas8351        Pavarde8351                     2.72            2.40
Vardas8625        Pavarde8625                     2.72            2.40
Vardas8875        Pavarde8875                     2.72            2.00
Vardas905         Pavarde905                      2.72            2.80
Vardas9262        Pavarde9262                     2.72            2.40
Vardas927         Pavarde927                      2.72            3.20
Vardas9275        Pavarde9275                     2.72            2.80
Vardas9318        Pavarde9318                     2.72            2.40
Vardas9431        Pavarde9431                     2.72            2.80
Vardas9954        Pavarde9954                     2.72            2.40
Vardas3546        Pavarde3546                     2.76            2.60
Vardas8760        Pavarde8760                     2.76            3.00
Vardas1293        Pavarde1293                     2.76            3.00
Vardas1298        Pavarde1298                     2.76            2.20
Vardas1322        Pavarde1322                     2.76            2.60
Vardas1476        Pavarde1476                     2.76            2.20
Vardas1523        Pavarde1523                     2.76            2.20
Vardas1603        Pavarde1603                     2.76            3.00
Vardas1822        Pavarde1822                     2.76            2.60
Vardas1934        Pavarde1934                     2.76            2.60
Vardas2331        Pavarde2331                     2.76            3.00
Vardas2647        Pavarde2647                     2.76            2.60
Vardas2692        Pavarde2692                     2.76            3.00
Vardas2776        Pavarde2776                     2.76            3.00
Vardas289         Pavarde289                      2.76            2.60
Vardas3186        Pavarde3186                     2.76            3.00
Vardas3237        Pavarde3237                     2.76            2.60
Vardas3334        Pavarde3334                     2.76            2.60
Vardas3517        Pavarde3517                     2.76            3.00
Vardas3589        Pavarde3589                     2.76            2.60
Vardas3875        Pavarde3875                     2.76            3.00
Vardas3905        Pavarde3905                     2.76            2.60
Vardas4098        Pavarde4098                     2.76            2.20
Vardas4294        Pavarde4294                     2.76            2.60
Vardas4439        Pavarde4439                     2.76            3.00
Vardas4448        Pavarde4448                     2.76            3.00
Vardas4563        Pavarde4563                     2.76            3.00
Vardas4823        Pavarde4823                     2.76            3.00
Vardas492         Pavarde492                      2.76            2.60
Vardas5012        Pavarde5012                     2.76            2.20
Vardas5313        Pavarde5313                     2.76            3.40
