Name              Surname                   Final(Avg)      Final(Med)
Vardas5312        Pavarde5312                     5.08            5.00
Vardas5386        Pavarde5386                     5.08            4.60
Vardas5591        Pavarde5591                     5.08            4.60
Vardas5610        Pavarde5610                     5.08            5.00
Vardas5624        Pavarde5624                     5.08            4.60
Vardas5860        Pavarde5860                     5.08            4.60
Vardas5871        Pavarde5871                     5.08            5.00
Vardas5933        Pavarde5933                     5.08            5.40
Vardas6061        Pavarde6061                     5.08            5.40
Vardas6281        Pavarde6281                     5.08            5.80
Vardas672         Pavarde672                      5.08            5.00
Vardas6768        Pavarde6768                     5.08            5.00
Vardas7172        Pavarde7172                     5.08            5.40
Vardas7254        Pavarde7254                     5.08            5.40
Vardas7551        Pavarde7551                     5.08            4.60
Vardas7630        Pavarde7630                     5.08            4.60
Vardas7773        Pavarde7773                     5.08            5.00
Vardas7822        Pavarde7822                     5.08            5.00
Vardas7842        Pavarde7842                     5.08            4.60
Vardas7885        Pavarde7885                     5.08            5.40
Vardas7968        Pavarde7968                     5.08            5.40
Vardas8020        Pavarde8020                     5.08            5.40
Vardas809         Pavarde809                      5.08            5.00
Vardas8102        Pavarde8102                     5.08            5.40
Vardas8288        Pavarde8288                     5.08            5.40
Vardas8309        Pavarde8309                     5.08            5.00
Vardas8320        Pavarde8320                     5.08            5.00
Vardas8560        Pavarde8560                     5.08            5.00
Vardas8608        Pavarde8608                     5.08            5.80
Vardas8790        Pavarde8790                     5.08            4.20
Vardas887         Pavarde887                      5.08            5.80
Vardas8873        Pavarde8873                     5.08            5.40
Vardas8888        Pavarde8888                     5.08            5.40
Vardas8937        Pavarde8937                     5.08            4.20
Vardas9073        Pavarde9073                     5.08            4.20
Vardas9248        Pavarde9248                     5.08            4.20
Vardas9476        Pavarde9476                     5.08            5.40
Vardas9506        Pavarde9506                     5.08            5.80
Vardas9571        Pavarde9571                     5.08            5.40
Vardas9607        Pavarde9607                     5.08            5.00
Vardas9652        Pavarde9652                     5.08            5.40
Vardas9748        Pavarde9748                     5.08            5.00
Vardas9816        Pavarde9816                     5.08            5.00
Vardas9889        Pavarde9889                     5.08            5.40
Vardas9935        Pavarde9935                     5.08            4.60
Vardas153         Pavarde153                      5.12            5.20
Vardas1996        Pavarde1996                     5.12            5.20
Vardas1997        Pavarde1997                     5.12            4.80
Vardas2244        Pavarde2244                     5.12            5.20
Vardas2269        Pavarde2269                     5.12            5.20
Vardas2418        Pavarde2418                     5.12            4.80
Vardas2507        Pavarde2507                     5.12            5.20
Vardas2758        Pavarde2758                     5.12            5.20
Vardas2850        Pavarde2850                     5.12            5.20
Vardas392         Pavarde392                      5.12            5.20
Vardas4203        Pavarde4203                     5.12            5.60
Vardas4370        Pavarde4370                     5.12            5.20
Vardas4382        Pavarde4382                     5.12            4.80
Vardas5018        Pavarde5018                     5.12            4.40
Vardas549         Pavarde549                      5.12            5.20
Vardas5765        Pavarde5765                     5.12            4.40
Vardas633         Pavarde633                      5.12            5.60
Vardas6401        Pavarde6401                     5.12            4.80
Vardas7070        Pavarde7070                     5.12            5.60
Vardas7338        Pavarde7338                     5.12            4.80
Vardas743         Pavarde743                      5.12            5.20
Vardas7484        Pavarde7484                     5.12            4.80
Vardas7685        Pavarde7685                     5.12            4.80
Vardas8143        Pavarde8143                     5.12            4.80
Vardas8713        Pavarde8713                     5.12            5.60
Vardas9132        Pavarde9132                     5.12            5.20
Vardas9805        Pavarde9805                     5.12            4.40
Vardas1023        Pavarde1023                     5.12            5.20
Vardas1033        Pavarde1033                     5.12            5.20
Vardas104         Pavarde104                      5.12            5.60
Vardas121         Pavarde121                      5.12            5.60
Vardas1479        Pavarde1479                     5.12            5.20
Vardas1486        Pavarde1486                     5.12            5.60
Vardas1836        Pavarde1836                     5.12            6.00
Vardas207         Pavarde207                      5.12            5.20
Vardas2332        Pavarde2332                     5.12            4.80
Vardas2936        Pavarde2936                     5.12            5.60
Vardas3115        Pavarde3115                     5.12            6.00
Vardas3204        Pavarde3204                     5.12            4.80
Vardas3379        Pavarde3379                     5.12            5.60
Vardas3764        Pavarde3764                     5.12            4.80
Vardas3855        Pavarde3855                     5.12            5.60
Vardas3863        Pavarde3863                     5.12            5.20
Vardas4303        Pavarde4303                     5.12            5.20
Vardas4610        Pavarde4610                     5.12            5.20
Vardas4797        Pavarde4797                     5.12            5.20
Vardas5036        Pavarde5036                     5.12            4.80
Vardas5105        Pavarde5105                     5.12            5.20
Vardas5187        Pavarde5187                     5.12            5.20
Vardas5245        Pavarde5245                     5.12            5.20
Vardas5607        Pavarde5607                     5.12            5.20
Vardas5721        Pavarde5721                     5.12            5.20
Vardas5982        Pavarde5982                     5.12            4.80
Vardas6025        Pavarde6025                     5.12            6.00
Vardas6123        Pavarde6123                     5.12            4.80
Vardas6343        Pavarde6343                     5.12            4.80
Vardas6349        Pavarde6349                     5.12            4.80
Vardas6604        Pavarde6604                     5.12            5.20
Vardas6784        Pavarde6784                     5.12            6.00
Vardas6998        Pavarde6998                     5.12            5.20
Vardas7050        Pavarde7050                     5.12            5.60
Vardas741         Pavarde741                      5.12            5.60
Vardas7774        Pavarde7774                     5.12            5.60
Vardas8082        Pavarde8082                     5.12            6.00
Vardas8166        Pavarde8166                     5.12            5.20
Vardas8456        Pavarde8456                     5.12            4.80
Vardas9151        Pavarde9151                     5.12            6.00
Vardas9415        Pavarde9415                     5.12            6.00
Vardas9897        Pavarde9897                     5.12            5.60
Vardas1086        Pavarde1086                     5.16            4.60
Vardas109         Pavarde109                      5.16            5.80
Vardas1114        Pavarde1114                     5.16            5.40
Vardas1156        Pavarde1156                     5.16            5.40
Vardas1759        Pavarde1759                     5.16            5.00
Vardas191         Pavarde191                      5.16            5.00
Vardas2139        Pavarde2139                     5.16            4.60
Vardas2652        Pavarde2652                     5.16            4.60
Vardas2846        Pavarde2846                     5.16            5.00
Vardas310         Pavarde310                      5.16            5.00
Vardas3194        Pavarde3194                     5.16            5.40
Vardas3217        Pavarde3217                     5.16            5.40
Vardas3337        Pavarde3337                     5.16            5.00
Vardas3436        Pavarde3436                     5.16            4.60
Vardas3494        Pavarde3494                     5.16            5.00
Vardas3762        Pavarde3762                     5.16            5.80
Vardas395         Pavarde395                      5.16            5.00
Vardas4016        Pavarde4016                     5.16            5.00
Vardas4110        Pavarde4110                     5.16            5.00
Vardas4130        Pavarde4130                     5.16            5.80
Vardas4236        Pavarde4236                     5.16            5.00
Vardas4253        Pavarde4253                     5.16            4.60
Vardas4335        Pavarde4335                     5.16            5.00
Vardas4399        Pavarde4399                     5.16            4.60
Vardas4500        Pavarde4500                     5.16            5.40
Vardas4512        Pavarde4512                     5.16            5.40
Vardas4545        Pavarde4545                     5.16            5.00
Vardas4679        Pavarde4679                     5.16            5.00
Vardas4755        Pavarde4755                     5.16            5.40
Vardas4906        Pavarde4906                     5.16            5.80
Vardas5195        Pavarde5195                     5.16            5.80
Vardas5241        Pavarde5241                     5.16            5.40
Vardas5663        Pavarde5663                     5.16            5.00
Vardas5763        Pavarde5763                     5.16            5.40
Vardas5918        Pavarde5918                     5.16            5.00
Vardas6007        Pavarde6007                     5.16            5.80
Vardas6375        Pavarde6375                     5.16            5.40
Vardas6408        Pavarde6408                     5.16            5.00
Vardas6450        Pavarde6450                     5.16            5.40
Vardas6517        Pavarde6517                     5.16            5.00
Vardas676         Pavarde676                      5.16            4.60
Vardas6859        Pavarde6859                     5.16            4.60
Vardas6982        Pavarde6982                     5.16            4.60
Vardas7046        Pavarde7046                     5.16            4.60
Vardas7418        Pavarde7418                     5.16            5.40
Vardas7488        Pavarde7488                     5.16            4.60
Vardas7617        Pavarde7617                     5.16            5.00
Vardas7759        Pavarde7759                     5.16            5.00
Vardas7793        Pavarde7793                     5.16            5.00
Vardas80          Pavarde80                       5.16            5.40
Vardas8022        Pavarde8022                     5.16            5.80
Vardas8669        Pavarde8669                     5.16            4.20
Vardas8731        Pavarde8731                     5.16            4.60
Vardas877         Pavarde877                      5.16            5.00
Vardas8772        Pavarde8772                     5.16            4.20
Vardas8911        Pavarde8911                     5.16            5.80
Vardas9002        Pavarde9002                     5.16            5.00
Vardas9009        Pavarde9009                     5.16            5.40
Vardas9268        Pavarde9268                     5.16            5.40
Vardas9433        Pavarde9433                     5.16            4.60
Vardas9619        Pavarde9619                     5.16            5.00
Vardas9758        Pavarde9758                     5.16            5.80
Vardas9806        Pavarde9806                     5.16            5.00
Vardas9826        Pavarde9826                     5.16            5.40
Vardas1040        Pavarde1040                     5.20            4.40
Vardas1226        Pavarde1226                     5.20            5.20
Vardas1370        Pavarde1370                     5.20            4.80
Vardas141         Pavarde141                      5.20            5.20
Vardas1507        Pavarde1507                     5.20            5.60
Vardas2166        Pavarde2166                     5.20            4.80
Vardas2181        Pavarde2181                     5.20            5.20
Vardas2316        Pavarde2316                     5.20            5.60
Vardas3104        Pavarde3104                     5.20            5.60
Vardas3180        Pavarde3180                     5.20            4.40
Vardas3511        Pavarde3511                     5.20            5.20
Vardas3958        Pavarde3958                     5.20            5.20
Vardas4815        Pavarde4815                     5.20            4.80
Vardas4829        Pavarde4829                     5.20            5.20
Vardas5444        Pavarde5444                     5.20            5.20
Vardas5466        Pavarde5466                     5.20            4.80
Vardas5874        Pavarde5874                     5.20            5.20
Vardas590         Pavarde590                      5.20            5.20
Vardas625         Pavarde625                      5.20            4.80
Vardas6966        Pavarde6966                     5.20            5.20
Vardas7040        Pavarde7040                     5.20            5.20
Vardas7074        Pavarde7074                     5.20            5.60
Vardas7090        Pavarde7090                     5.20            5.60
Vardas7118        Pavarde7118                     5.20            4.80
Vardas7139        Pavarde7139                     5.20            4.80
Vardas7146        Pavarde7146                     5.20            4.40
Vardas7321        Pavarde7321                     5.20            4.80
Vardas7496        Pavarde7496                     5.20            5.20
Vardas7876        Pavarde7876                     5.20            4.80
Vardas7954        Pavarde7954                     5.20            4.40
Vardas8883        Pavarde8883                     5.20            4.40
Vardas900         Pavarde900                      5.20            4.40
Vardas9374        Pavarde9374                     5.20            5.60
Vardas9427        Pavarde9427                     5.20            4.80
Vardas9947        Pavarde9947                     5.20            5.20
Vardas1596        Pavarde1596                     5.20            5.20
Vardas1789        Pavarde1789                     5.20            5.60
Vardas1891        Pavarde1891                     5.20            5.20
Vardas1935        Pavarde1935                     5.20            5.60
Vardas1939        Pavarde1939                     5.20            5.60
Vardas1958        Pavarde1958                     5.20            5.60
Vardas2243        Pavarde2243                     5.20            5.20
Vardas2355        Pavarde2355                     5.20            6.00
Vardas2470        Pavarde2470                     5.20            5.60
Vardas2871        Pavarde2871                     5.20            5.60
Vardas3135        Pavarde3135                     5.20            5.20
Vardas3166        Pavarde3166                     5.20            4.80
Vardas3825        Pavarde3825                     5.20            5.20
Vardas5007        Pavarde5007                     5.20            4.80
Vardas5485        Pavarde5485                     5.20            5.60
Vardas5526        Pavarde5526                     5.20            5.60
Vardas5863        Pavarde5863                     5.20            5.60
Vardas6000        Pavarde6000                     5.20            5.60
Vardas6769        Pavarde6769                     5.20            5.20
Vardas683         Pavarde683                      5.20            5.20
Vardas6905        Pavarde6905                     5.20            5.20
Vardas7173        Pavarde7173                     5.20            5.60
Vardas7261        Pavarde7261                     5.20            6.00
Vardas7358        Pavarde7358                     5.20            5.20
Vardas8078        Pavarde8078                     5.20            6.00
Vardas8275        Pavarde8275                     5.20            5.60
Vardas8575        Pavarde8575                     5.20            5.60
Vardas8803        Pavarde8803                     5.20            5.60
Vardas8835        Pavarde8835                     5.20            5.60
Vardas8984        Pavarde8984                     5.20            5.20
Vardas9078        Pavarde9078                     5.20            5.60
Vardas9136        Pavarde9136                     5.20            5.20
Vardas9813        Pavarde9813                     5.20            5.60
Vardas1263        Pavarde1263                     5.24            5.00
Vardas1814        Pavarde1814                     5.24            5.80
Vardas2040        Pavarde2040                     5.24            5.00
Vardas2229        Pavarde2229                     5.24            5.40
Vardas2489        Pavarde2489                     5.24            5.00
Vardas2841        Pavarde2841                     5.24            5.40
Vardas2844        Pavarde2844                     5.24            5.80
Vardas3428        Pavarde3428                     5.24            5.00
Vardas3463        Pavarde3463                     5.24            5.80
Vardas3516        Pavarde3516                     5.24            5.00
Vardas3520        Pavarde3520                     5.24            4.60
Vardas3682        Pavarde3682                     5.24            5.40
Vardas37          Pavarde37                       5.24            5.80
Vardas4004        Pavarde4004                     5.24            5.40
Vardas5024        Pavarde5024                     5.24            5.80
Vardas5146        Pavarde5146                     5.24            5.00
Vardas5147        Pavarde5147                     5.24            5.40
Vardas5290        Pavarde5290                     5.24            5.00
Vardas5313        Pavarde5313                     5.24            5.00
Vardas5373        Pavarde5373                     5.24            5.40
Vardas5605        Pavarde5605                     5.24            5.00
Vardas5713        Pavarde5713                     5.24            5.80
Vardas5811        Pavarde5811                     5.24            5.00
Vardas6192        Pavarde6192                     5.24            5.40
Vardas6307        Pavarde6307                     5.24            5.80
Vardas6427        Pavarde6427                     5.24            5.40
Vardas6637        Pavarde6637                     5.24            5.40
Vardas6945        Pavarde6945                     5.24            5.40
Vardas6990        Pavarde6990                     5.24            5.00
Vardas7224        Pavarde7224                     5.24            5.40
Vardas7293        Pavarde7293                     5.24            6.20
Vardas7722        Pavarde7722                     5.24            5.40
Vardas7820        Pavarde7820                     5.24            5.40
Vardas805         Pavarde805                      5.24            6.20
Vardas8272        Pavarde8272                     5.24            5.00
Vardas8492        Pavarde8492                     5.24            5.40
Vardas8714        Pavarde8714                     5.24            5.40
Vardas8845        Pavarde8845                     5.24            4.60
Vardas9032        Pavarde9032                     5.24            5.00
Vardas919         Pavarde919                      5.24            5.80
Vardas9716        Pavarde9716                     5.24            5.80
Vardas9770        Pavarde9770                     5.24            5.40
Vardas9893        Pavarde9893                     5.24            5.00
Vardas9956        Pavarde9956                     5.24            5.40
Vardas112         Pavarde112                      5.28            5.60
Vardas1151        Pavarde1151                     5.28            5.60
Vardas1217        Pavarde1217                     5.28            4.80
Vardas14          Pavarde14                       5.28            5.60
Vardas162         Pavarde162                      5.28            4.80
Vardas1821        Pavarde1821                     5.28            4.80
Vardas2198        Pavarde2198                     5.28            5.60
Vardas2273        Pavarde2273                     5.28            6.00
Vardas2407        Pavarde2407                     5.28            5.20
Vardas2456        Pavarde2456                     5.28            5.20
Vardas2989        Pavarde2989                     5.28            5.60
Vardas4185        Pavarde4185                     5.28            4.80
Vardas4223        Pavarde4223                     5.28            5.20
Vardas4301        Pavarde4301                     5.28            5.60
Vardas4381        Pavarde4381                     5.28            5.60
Vardas4562        Pavarde4562                     5.28            4.80
Vardas4576        Pavarde4576                     5.28            5.20
Vardas4767        Pavarde4767                     5.28            4.80
Vardas510         Pavarde510                      5.28            5.20
Vardas5390        Pavarde5390                     5.28            5.20
Vardas5490        Pavarde5490                     5.28            4.80
Vardas5590        Pavarde5590                     5.28            5.20
Vardas7115        Pavarde7115                     5.28            4.80
Vardas7214        Pavarde7214                     5.28            4.80
Vardas774         Pavarde774                      5.28            5.20
Vardas7920        Pavarde7920                     5.28            4.80
Vardas800         Pavarde800                      5.28            5.20
Vardas8113        Pavarde8113                     5.28            5.60
Vardas8583        Pavarde8583                     5.28            5.20
Vardas8955        Pavarde8955                     5.28            5.20
Vardas9126        Pavarde9126                     5.28            5.60
Vardas9306        Pavarde9306                     5.28            4.40
Vardas9521        Pavarde9521                     5.28            4.80
Vardas9794        Pavarde9794                     5.28            5.20
Vardas9874        Pavarde9874                     5.28            5.20
Vardas1027        Pavarde1027                     5.28            5.20
Vardas1338        Pavarde1338                     5.28            5.20
Vardas1419        Pavarde1419                     5.28            5.60
Vardas1494        Pavarde1494                     5.28            5.20
Vardas2169        Pavarde2169                     5.28            6.00
Vardas2318        Pavarde2318                     5.28            5.60
Vardas2673        Pavarde2673                     5.28            5.60
Vardas2715        Pavarde2715                     5.28            6.00
Vardas3581        Pavarde3581                     5.28            5.20
Vardas3678        Pavarde3678                     5.28            6.40
Vardas3895        Pavarde3895                     5.28            5.60
Vardas3936        Pavarde3936                     5.28            5.60
Vardas3944        Pavarde3944                     5.28            5.60
Vardas3965        Pavarde3965                     5.28            5.60
Vardas4022        Pavarde4022                     5.28            6.00
Vardas4045        Pavarde4045                     5.28            6.40
Vardas420         Pavarde420                      5.28            6.00
Vardas4244        Pavarde4244                     5.28            5.60
Vardas4749        Pavarde4749                     5.28            5.60
Vardas5503        Pavarde5503                     5.28            5.60
Vardas5618        Pavarde5618                     5.28            5.60
Vardas5728        Pavarde5728                     5.28            5.60
Vardas6392        Pavarde6392                     5.28            5.60
Vardas649         Pavarde649                      5.28            5.60
Vardas6540        Pavarde6540                     5.28            5.60
Vardas7213        Pavarde7213                     5.28            5.60
Vardas7216        Pavarde7216                     5.28            5.20
Vardas7718        Pavarde7718                     5.28            5.60
Vardas8514        Pavarde8514                     5.28            5.60
Vardas8606        Pavarde8606                     5.28            5.60
Vardas907         Pavarde907                      5.28            5.60
Vardas9241        Pavarde9241                     5.28            4.80
Vardas9527        Pavarde9527                     5.28            5.60
Vardas9702        Pavarde9702                     5.28            5.60
Vardas9880        Pavarde9880                     5.28            5.60
Vardas107         Pavarde107                      5.32            6.20
Vardas1078        Pavarde1078                     5.32            5.80
Vardas1146        Pavarde1146                     5.32            5.40
Vardas1197        Pavarde1197                     5.32            4.60
Vardas1273        Pavarde1273                     5.32            5.00
Vardas1563        Pavarde1563                     5.32            4.60
Vardas1800        Pavarde1800                     5.32            5.40
Vardas2558        Pavarde2558                     5.32            5.80
Vardas2803        Pavarde2803                     5.32            4.60
Vardas3169        Pavarde3169                     5.32            5.40
Vardas3183        Pavarde3183                     5.32            5.40
Vardas319         Pavarde319                      5.32            5.40
Vardas3364        Pavarde3364                     5.32            5.40
Vardas3888        Pavarde3888                     5.32            5.00
Vardas4085        Pavarde4085                     5.32            4.60
Vardas4164        Pavarde4164                     5.32            5.40
Vardas4205        Pavarde4205                     5.32            5.40
Vardas4262        Pavarde4262                     5.32            5.00
Vardas429         Pavarde429                      5.32            4.60
Vardas4584        Pavarde4584                     5.32            5.40
Vardas4620        Pavarde4620                     5.32            5.40
Vardas4836        Pavarde4836                     5.32            5.00
Vardas4837        Pavarde4837                     5.32            5.00
Vardas4878        Pavarde4878                     5.32            5.80
Vardas5781        Pavarde5781                     5.32            5.80
Vardas5802        Pavarde5802                     5.32            5.80
Vardas5810        Pavarde5810                     5.32            5.80
Vardas5948        Pavarde5948                     5.32            5.00
Vardas6071        Pavarde6071                     5.32            5.00
Vardas6377        Pavarde6377                     5.32            5.40
