Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas979         Pavarde979                      5.40            5.40
Vardas127         Pavarde127                      5.44            5.60
Vardas149         Pavarde149                      5.44            5.60
Vardas158         Pavarde158                      5.44            4.80
Vardas180         Pavarde180                      5.44            4.80
Vardas204         Pavarde204                      5.44            6.00
Vardas626         Pavarde626                      5.44            5.60
Vardas648         Pavarde648                      5.44            5.60
Vardas662         Pavarde662                      5.44            5.20
Vardas836         Pavarde836                      5.44            5.60
Vardas904         Pavarde904                      5.44            5.60
Vardas587         Pavarde587                      5.48            5.80
Vardas882         Pavarde882                      5.48            6.20
Vardas886         Pavarde886                      5.48            5.80
Vardas202         Pavarde202                      5.52            5.60
Vardas274         Pavarde274                      5.52            5.20
Vardas644         Pavarde644                      5.52            6.00
Vardas735         Pavarde735                      5.52            4.80
Vardas1000        Pavarde1000                     5.56            5.40
Vardas335         Pavarde335                      5.56            5.80
Vardas413         Pavarde413                      5.56            5.40
Vardas598         Pavarde598                      5.56            5.80
Vardas628         Pavarde628                      5.56            5.40
Vardas639         Pavarde639                      5.56            5.80
Vardas673         Pavarde673                      5.56            5.80
Vardas81          Pavarde81                       5.56            5.80
Vardas22          Pavarde22                       5.60            5.20
Vardas227         Pavarde227                      5.60            5.60
Vardas318         Pavarde318                      5.60            6.00
Vardas577         Pavarde577                      5.60            5.60
Vardas657         Pavarde657                      5.60            5.20
Vardas658         Pavarde658                      5.60            5.20
Vardas738         Pavarde738                      5.60            5.60
Vardas754         Pavarde754                      5.60            5.60
Vardas137         Pavarde137                      5.64            5.40
Vardas197         Pavarde197                      5.64            5.00
Vardas27          Pavarde27                       5.64            5.80
Vardas638         Pavarde638                      5.64            5.80
Vardas866         Pavarde866                      5.64            5.80
Vardas997         Pavarde997                      5.64            6.20
Vardas559         Pavarde559                      5.68            5.60
Vardas594         Pavarde594                      5.68            5.60
Vardas798         Pavarde798                      5.68            5.20
Vardas104         Pavarde104                      5.72            5.40
Vardas376         Pavarde376                      5.72            6.20
Vardas497         Pavarde497                      5.72            6.20
Vardas78          Pavarde78                       5.72            5.40
Vardas825         Pavarde825                      5.72            5.80
Vardas872         Pavarde872                      5.72            6.20
Vardas926         Pavarde926                      5.72            6.20
Vardas980         Pavarde980                      5.72            5.00
Vardas212         Pavarde212                      5.76            5.60
Vardas324         Pavarde324                      5.76            6.40
Vardas526         Pavarde526                      5.76            6.00
Vardas820         Pavarde820                      5.76            5.60
Vardas922         Pavarde922                      5.76            5.60
Vardas147         Pavarde147                      5.80            5.00
Vardas148         Pavarde148                      5.80            5.80
Vardas388         Pavarde388                      5.80            6.60
Vardas586         Pavarde586                      5.80            5.00
Vardas678         Pavarde678                      5.80            5.80
Vardas682         Pavarde682                      5.80            6.20
Vardas846         Pavarde846                      5.80            5.40
Vardas934         Pavarde934                      5.80            5.00
Vardas950         Pavarde950                      5.80            5.40
Vardas344         Pavarde344                      5.84            6.80
Vardas51          Pavarde51                       5.84            6.00
Vardas966         Pavarde966                      5.84            6.00
Vardas221         Pavarde221                      5.88            6.20
Vardas37          Pavarde37                       5.88            6.20
Vardas629         Pavarde629                      5.88            5.80
Vardas650         Pavarde650                      5.88            6.20
Vardas742         Pavarde742                      5.88            6.20
Vardas911         Pavarde911                      5.88            5.80
Vardas932         Pavarde932                      5.88            5.80
Vardas949         Pavarde949                      5.88            5.80
Vardas969         Pavarde969                      5.88            5.40
Vardas296         Pavarde296                      5.92            6.00
Vardas370         Pavarde370                      5.92            6.00
Vardas712         Pavarde712                      5.92            5.60
Vardas924         Pavarde924                      5.92            6.40
Vardas188         Pavarde188                      5.96            6.20
Vardas223         Pavarde223                      5.96            5.80
Vardas593         Pavarde593                      5.96            5.40
Vardas610         Pavarde610                      5.96            4.60
Vardas70          Pavarde70                       5.96            5.80
Vardas780         Pavarde780                      5.96            5.80
Vardas783         Pavarde783                      5.96            5.40
Vardas802         Pavarde802                      5.96            5.40
Vardas951         Pavarde951                      5.96            6.20
Vardas326         Pavarde326                      6.00            6.00
Vardas369         Pavarde369                      6.00            6.40
Vardas44          Pavarde44                       6.00            5.20
Vardas535         Pavarde535                      6.00            5.20
Vardas625         Pavarde625                      6.00            5.60
Vardas68          Pavarde68                       6.00            5.20
Vardas891         Pavarde891                      6.00            5.60
Vardas947         Pavarde947                      6.00            6.00
Vardas170         Pavarde170                      6.04            6.20
Vardas190         Pavarde190                      6.04            5.80
Vardas396         Pavarde396                      6.04            6.20
Vardas42          Pavarde42                       6.04            5.00
Vardas460         Pavarde460                      6.04            6.60
Vardas520         Pavarde520                      6.04            5.40
Vardas62          Pavarde62                       6.04            5.80
Vardas67          Pavarde67                       6.04            6.60
Vardas834         Pavarde834                      6.04            5.80
Vardas941         Pavarde941                      6.04            6.20
Vardas106         Pavarde106                      6.08            6.00
Vardas191         Pavarde191                      6.08            6.40
Vardas494         Pavarde494                      6.08            6.00
Vardas495         Pavarde495                      6.08            6.00
Vardas536         Pavarde536                      6.08            6.00
Vardas666         Pavarde666                      6.08            6.00
Vardas711         Pavarde711                      6.08            6.00
Vardas816         Pavarde816                      6.08            6.80
Vardas861         Pavarde861                      6.08            6.40
Vardas970         Pavarde970                      6.08            6.00
Vardas111         Pavarde111                      6.12            6.20
Vardas439         Pavarde439                      6.12            5.80
Vardas800         Pavarde800                      6.12            5.80
Vardas807         Pavarde807                      6.12            5.80
Vardas869         Pavarde869                      6.12            5.00
Vardas9           Pavarde9                        6.12            6.20
Vardas128         Pavarde128                      6.16            6.80
Vardas14          Pavarde14                       6.16            6.80
Vardas71          Pavarde71                       6.16            6.80
Vardas764         Pavarde764                      6.16            6.40
Vardas813         Pavarde813                      6.16            6.00
Vardas945         Pavarde945                      6.16            6.00
Vardas269         Pavarde269                      6.20            6.60
Vardas565         Pavarde565                      6.20            6.60
Vardas600         Pavarde600                      6.20            6.20
Vardas734         Pavarde734                      6.20            6.20
Vardas184         Pavarde184                      6.24            6.40
Vardas205         Pavarde205                      6.24            6.40
Vardas250         Pavarde250                      6.24            5.60
Vardas476         Pavarde476                      6.24            6.40
Vardas909         Pavarde909                      6.24            6.80
Vardas928         Pavarde928                      6.24            5.60
Vardas256         Pavarde256                      6.28            6.20
Vardas723         Pavarde723                      6.28            6.60
Vardas288         Pavarde288                      6.28            5.80
Vardas434         Pavarde434                      6.28            6.20
Vardas617         Pavarde617                      6.28            6.20
Vardas876         Pavarde876                      6.28            6.20
Vardas930         Pavarde930                      6.28            6.20
Vardas95          Pavarde95                       6.28            6.20
Vardas30          Pavarde30                       6.32            6.80
Vardas471         Pavarde471                      6.32            6.80
Vardas899         Pavarde899                      6.32            6.80
Vardas103         Pavarde103                      6.36            7.00
Vardas135         Pavarde135                      6.36            5.80
Vardas207         Pavarde207                      6.36            6.60
Vardas275         Pavarde275                      6.36            6.60
Vardas399         Pavarde399                      6.36            6.60
Vardas571         Pavarde571                      6.36            6.60
Vardas589         Pavarde589                      6.36            6.60
Vardas788         Pavarde788                      6.36            5.80
Vardas953         Pavarde953                      6.36            6.20
Vardas234         Pavarde234                      6.40            6.80
Vardas265         Pavarde265                      6.40            5.20
Vardas330         Pavarde330                      6.40            7.20
Vardas462         Pavarde462                      6.40            6.80
Vardas581         Pavarde581                      6.40            6.40
Vardas607         Pavarde607                      6.40            6.80
Vardas615         Pavarde615                      6.40            6.40
Vardas345         Pavarde345                      6.44            6.60
Vardas652         Pavarde652                      6.44            6.20
Vardas740         Pavarde740                      6.44            7.00
Vardas787         Pavarde787                      6.44            7.00
Vardas429         Pavarde429                      6.48            6.40
Vardas445         Pavarde445                      6.48            6.80
Vardas545         Pavarde545                      6.48            6.40
Vardas592         Pavarde592                      6.48            6.40
Vardas620         Pavarde620                      6.48            6.40
Vardas706         Pavarde706                      6.48            6.00
Vardas826         Pavarde826                      6.48            6.40
Vardas281         Pavarde281                      6.52            7.00
Vardas311         Pavarde311                      6.52            7.00
Vardas355         Pavarde355                      6.52            5.80
Vardas39          Pavarde39                       6.52            6.60
Vardas543         Pavarde543                      6.52            6.20
Vardas570         Pavarde570                      6.52            6.20
Vardas630         Pavarde630                      6.52            6.20
Vardas655         Pavarde655                      6.52            7.00
Vardas957         Pavarde957                      6.52            6.60
Vardas485         Pavarde485                      6.52            7.00
Vardas320         Pavarde320                      6.56            6.40
Vardas331         Pavarde331                      6.56            5.60
Vardas505         Pavarde505                      6.56            6.40
Vardas537         Pavarde537                      6.56            6.00
Vardas291         Pavarde291                      6.60            6.60
Vardas21          Pavarde21                       6.60            7.40
Vardas414         Pavarde414                      6.60            7.40
Vardas560         Pavarde560                      6.60            6.20
Vardas76          Pavarde76                       6.60            7.40
Vardas935         Pavarde935                      6.60            7.00
Vardas151         Pavarde151                      6.64            6.40
Vardas266         Pavarde266                      6.64            6.80
Vardas29          Pavarde29                       6.64            6.40
Vardas350         Pavarde350                      6.64            5.60
Vardas373         Pavarde373                      6.64            6.80
Vardas474         Pavarde474                      6.64            6.80
Vardas5           Pavarde5                        6.64            6.40
Vardas523         Pavarde523                      6.64            6.80
Vardas538         Pavarde538                      6.64            5.60
Vardas748         Pavarde748                      6.64            6.80
Vardas786         Pavarde786                      6.64            6.80
Vardas835         Pavarde835                      6.64            7.20
Vardas302         Pavarde302                      6.68            5.80
Vardas705         Pavarde705                      6.68            6.60
Vardas759         Pavarde759                      6.68            7.00
Vardas919         Pavarde919                      6.68            6.20
Vardas927         Pavarde927                      6.68            6.60
Vardas100         Pavarde100                      6.68            6.20
Vardas102         Pavarde102                      6.68            7.00
Vardas23          Pavarde23                       6.68            7.40
Vardas310         Pavarde310                      6.68            7.00
Vardas358         Pavarde358                      6.68            6.60
Vardas473         Pavarde473                      6.68            6.20
Vardas823         Pavarde823                      6.68            7.00
Vardas873         Pavarde873                      6.68            7.00
Vardas956         Pavarde956                      6.68            6.60
Vardas327         Pavarde327                      6.72            5.60
Vardas360         Pavarde360                      6.72            6.80
Vardas63          Pavarde63                       6.76            6.20
Vardas721         Pavarde721                      6.76            6.60
Vardas224         Pavarde224                      6.76            7.40
Vardas313         Pavarde313                      6.76            7.80
Vardas387         Pavarde387                      6.76            7.00
Vardas564         Pavarde564                      6.76            7.00
Vardas574         Pavarde574                      6.76            7.00
Vardas683         Pavarde683                      6.76            7.00
Vardas83          Pavarde83                       6.76            7.00
Vardas166         Pavarde166                      6.80            7.20
Vardas176         Pavarde176                      6.80            6.80
Vardas26          Pavarde26                       6.80            6.40
Vardas556         Pavarde556                      6.80            6.80
Vardas588         Pavarde588                      6.80            7.20
Vardas701         Pavarde701                      6.80            7.20
Vardas842         Pavarde842                      6.80            6.40
Vardas276         Pavarde276                      6.84            7.00
Vardas464         Pavarde464                      6.84            7.00
Vardas667         Pavarde667                      6.84            6.60
Vardas700         Pavarde700                      6.84            7.00
Vardas960         Pavarde960                      6.84            7.00
Vardas260         Pavarde260                      6.88            6.80
Vardas306         Pavarde306                      6.88            6.00
Vardas539         Pavarde539                      6.88            6.80
Vardas608         Pavarde608                      6.88            6.80
Vardas410         Pavarde410                      6.92            7.40
Vardas436         Pavarde436                      6.92            7.40
Vardas702         Pavarde702                      6.92            6.60
Vardas948         Pavarde948                      6.92            7.00
Vardas17          Pavarde17                       6.96            7.20
Vardas181         Pavarde181                      6.96            6.80
Vardas374         Pavarde374                      6.96            6.80
Vardas430         Pavarde430                      6.96            6.40
Vardas478         Pavarde478                      6.96            6.80
Vardas52          Pavarde52                       6.96            7.20
Vardas73          Pavarde73                       6.96            6.80
Vardas749         Pavarde749                      6.96            6.40
Vardas781         Pavarde781                      6.96            6.80
Vardas123         Pavarde123                      7.00            6.60
Vardas32          Pavarde32                       7.00            7.40
Vardas708         Pavarde708                      7.00            7.00
Vardas799         Pavarde799                      7.00            5.80
Vardas854         Pavarde854                      7.00            6.60
Vardas287         Pavarde287                      7.04            8.00
Vardas469         Pavarde469                      7.04            7.60
Vardas883         Pavarde883                      7.04            6.80
Vardas897         Pavarde897                      7.04            6.80
Vardas918         Pavarde918                      7.04            7.20
Vardas303         Pavarde303                      7.04            7.20
Vardas467         Pavarde467                      7.08            7.40
Vardas210         Pavarde210                      7.12            7.20
Vardas519         Pavarde519                      7.12            7.60
Vardas572         Pavarde572                      7.12            6.80
Vardas724         Pavarde724                      7.12            7.20
Vardas745         Pavarde745                      7.12            6.80
Vardas612         Pavarde612                      7.12            6.80
Vardas142         Pavarde142                      7.16            6.60
Vardas217         Pavarde217                      7.16            6.60
Vardas316         Pavarde316                      7.16            6.60
Vardas461         Pavarde461                      7.16            7.00
Vardas531         Pavarde531                      7.16            7.40
Vardas694         Pavarde694                      7.16            7.80
Vardas732         Pavarde732                      7.16            7.80
Vardas789         Pavarde789                      7.16            7.00
Vardas913         Pavarde913                      7.16            7.00
Vardas959         Pavarde959                      7.16            7.80
Vardas114         Pavarde114                      7.20            7.20
Vardas185         Pavarde185                      7.20            7.60
Vardas198         Pavarde198                      7.20            6.80
Vardas239         Pavarde239                      7.20            7.60
Vardas353         Pavarde353                      7.20            7.20
Vardas603         Pavarde603                      7.20            7.60
Vardas837         Pavarde837                      7.20            7.20
Vardas991         Pavarde991                      7.20            7.20
Vardas208         Pavarde208                      7.24            7.00
Vardas31          Pavarde31                       7.24            7.40
Vardas381         Pavarde381                      7.24            7.00
Vardas646         Pavarde646                      7.24            7.00
Vardas801         Pavarde801                      7.24            7.40
Vardas131         Pavarde131                      7.28            7.20
Vardas169         Pavarde169                      7.28            7.20
Vardas425         Pavarde425                      7.28            7.60
Vardas555         Pavarde555                      7.28            6.40
Vardas56          Pavarde56                       7.28            8.00
Vardas696         Pavarde696                      7.28            7.60
Vardas868         Pavarde868                      7.28            8.00
Vardas884         Pavarde884                      7.28            7.60
Vardas16          Pavarde16                       7.32            7.00
Vardas199         Pavarde199                      7.32            6.60
Vardas282         Pavarde282                      7.32            7.00
Vardas41          Pavarde41                       7.32            7.40
Vardas645         Pavarde645                      7.32            7.40
Vardas728         Pavarde728                      7.32            7.00
Vardas741         Pavarde741                      7.32            7.00
Vardas432         Pavarde432                      7.32            7.40
Vardas566         Pavarde566                      7.32            7.40
Vardas24          Pavarde24                       7.36            7.20
Vardas3           Pavarde3                        7.36            6.80
Vardas328         Pavarde328                      7.36            7.20
Vardas334         Pavarde334                      7.36            7.60
Vardas361         Pavarde361                      7.36            7.20
Vardas993         Pavarde993                      7.36            6.80
Vardas18          Pavarde18                       7.40            6.60
Vardas672         Pavarde672                      7.40            7.80
Vardas733         Pavarde733                      7.40            7.00
Vardas790         Pavarde790                      7.40            7.80
Vardas898         Pavarde898                      7.40            7.40
Vardas309         Pavarde309                      7.40            7.40
Vardas134         Pavarde134                      7.44            7.20
Vardas304         Pavarde304                      7.44            7.60
Vardas359         Pavarde359                      7.44            6.80
Vardas656         Pavarde656                      7.44            7.20
Vardas691         Pavarde691                      7.44            7.20
Vardas693         Pavarde693                      7.44            7.20
Vardas710         Pavarde710                      7.44            6.80
Vardas714         Pavarde714                      7.44            7.60
Vardas508         Pavarde508                      7.48            7.40
Vardas640         Pavarde640                      7.48            7.40
Vardas75          Pavarde75                       7.48            7.40
Vardas305         Pavarde305                      7.48            7.40
Vardas264         Pavarde264                      7.52            8.00
Vardas583         Pavarde583                      7.52            7.60
Vardas731         Pavarde731                      7.52            7.60
Vardas855         Pavarde855                      7.52            8.00
Vardas116         Pavarde116                      7.56            7.40
Vardas463         Pavarde463                      7.56            7.40
Vardas53          Pavarde53                       7.56            7.40
Vardas596         Pavarde596                      7.56            7.40
Vardas727         Pavarde727                      7.56            7.40
Vardas931         Pavarde931                      7.56            7.80
Vardas2           Pavarde2                        7.60            8.00
Vardas267         Pavarde267                      7.60            8.00
Vardas339         Pavarde339                      7.60            8.00
Vardas341         Pavarde341                      7.60            6.80
Vardas46          Pavarde46                       7.60            8.00
Vardas143         Pavarde143                      7.64            7.80
Vardas231         Pavarde231                      7.64            7.40
Vardas315         Pavarde315                      7.64            7.40
Vardas402         Pavarde402                      7.64            8.20
Vardas408         Pavarde408                      7.64            7.00
Vardas502         Pavarde502                      7.64            8.60
Vardas562         Pavarde562                      7.64            7.80
Vardas604         Pavarde604                      7.64            7.40
Vardas704         Pavarde704                      7.64            7.80
Vardas925         Pavarde925                      7.64            7.80
Vardas452         Pavarde452                      7.64            7.80
Vardas307         Pavarde307                      7.68            8.00
Vardas337         Pavarde337                      7.68            7.20
Vardas378         Pavarde378                      7.68            8.00
Vardas394         Pavarde394                      7.68            8.00
Vardas405         Pavarde405                      7.68            7.60
Vardas456         Pavarde456                      7.68            6.80
Vardas465         Pavarde465                      7.68            7.20
Vardas675         Pavarde675                      7.68            8.00
Vardas753         Pavarde753                      7.68            8.00
Vardas944         Pavarde944                      7.68            7.60
Vardas386         Pavarde386                      7.72            7.80
Vardas47          Pavarde47                       7.72            8.60
Vardas549         Pavarde549                      7.72            7.80
Vardas57          Pavarde57                       7.72            8.20
Vardas877         Pavarde877                      7.72            7.80
Vardas126         Pavarde126                      7.76            8.00
Vardas292         Pavarde292                      7.76            7.60
Vardas329         Pavarde329                      7.76            8.00
Vardas568         Pavarde568                      7.76            8.00
Vardas879         Pavarde879                      7.76            7.20
Vardas243         Pavarde243                      7.80            7.40
Vardas492         Pavarde492                      7.80            7.80
Vardas561         Pavarde561                      7.80            7.80
Vardas578         Pavarde578                      7.80            7.00
Vardas674         Pavarde674                      7.80            8.60
Vardas719         Pavarde719                      7.80            8.20
Vardas746         Pavarde746                      7.80            8.20
Vardas77          Pavarde77                       7.80            7.00
Vardas817         Pavarde817                      7.80            7.80
Vardas860         Pavarde860                      7.80            7.80
Vardas90          Pavarde90                       7.80            8.60
Vardas145         Pavarde145                      7.84            8.00
Vardas236         Pavarde236                      7.84            8.40
Vardas261         Pavarde261                      7.84            7.60
Vardas451         Pavarde451                      7.84            8.00
Vardas757         Pavarde757                      7.84            8.40
Vardas776         Pavarde776                      7.84            7.60
Vardas818         Pavarde818                      7.84            7.60
Vardas130         Pavarde130                      7.88            7.80
Vardas144         Pavarde144                      7.88            7.80
Vardas175         Pavarde175                      7.88            8.20
Vardas156         Pavarde156                      7.92            8.00
Vardas189         Pavarde189                      7.92            7.60
Vardas196         Pavarde196                      7.92            8.00
Vardas252         Pavarde252                      7.92            8.00
Vardas312         Pavarde312                      7.92            7.60
Vardas356         Pavarde356                      7.92            8.00
Vardas901         Pavarde901                      7.92            7.60
Vardas257         Pavarde257                      7.96            7.80
Vardas765         Pavarde765                      7.96            8.60
Vardas847         Pavarde847                      7.96            8.20
Vardas362         Pavarde362                      8.00            7.60
Vardas385         Pavarde385                      8.00            8.00
Vardas415         Pavarde415                      8.00            8.80
Vardas454         Pavarde454                      8.00            7.60
Vardas97          Pavarde97                       8.00            8.40
Vardas225         Pavarde225                      8.04            9.00
Vardas235         Pavarde235                      8.04            8.20
Vardas517         Pavarde517                      8.04            7.80
Vardas689         Pavarde689                      8.04            8.60
Vardas709         Pavarde709                      8.04            8.60
Vardas771         Pavarde771                      8.04            8.20
Vardas784         Pavarde784                      8.04            8.20
Vardas986         Pavarde986                      8.04            7.80
Vardas283         Pavarde283                      8.08            8.00
Vardas284         Pavarde284                      8.08            8.00
Vardas457         Pavarde457                      8.08            8.40
Vardas659         Pavarde659                      8.08            7.20
Vardas66          Pavarde66                       8.08            7.60
Vardas828         Pavarde828                      8.08            8.80
Vardas838         Pavarde838                      8.08            8.40
Vardas938         Pavarde938                      8.08            8.00
Vardas323         Pavarde323                      8.12            8.20
Vardas82          Pavarde82                       8.12            8.60
Vardas974         Pavarde974                      8.12            8.20
Vardas992         Pavarde992                      8.12            8.20
Vardas120         Pavarde120                      8.16            8.40
Vardas354         Pavarde354                      8.16            8.40
Vardas697         Pavarde697                      8.16            7.60
Vardas848         Pavarde848                      8.16            8.00
Vardas968         Pavarde968                      8.16            8.00
Vardas167         Pavarde167                      8.20            8.20
Vardas246         Pavarde246                      8.20            8.60
Vardas530         Pavarde530                      8.20            7.80
Vardas585         Pavarde585                      8.20            8.60
Vardas154         Pavarde154                      8.24            8.00
Vardas247         Pavarde247                      8.24            8.40
Vardas285         Pavarde285                      8.24            8.00
Vardas403         Pavarde403                      8.24            8.80
Vardas6           Pavarde6                        8.24            8.00
Vardas867         Pavarde867                      8.24            8.80
Vardas417         Pavarde417                      8.32            8.00
Vardas448         Pavarde448                      8.32            8.00
Vardas649         Pavarde649                      8.32            8.00
Vardas698         Pavarde698                      8.32            8.00
Vardas716         Pavarde716                      8.32            8.00
Vardas736         Pavarde736                      8.32            9.20
Vardas862         Pavarde862                      8.32            8.80
Vardas194         Pavarde194                      8.40            8.40
Vardas321         Pavarde321                      8.40            8.80
Vardas367         Pavarde367                      8.40            8.40
Vardas50          Pavarde50                       8.40            8.40
Vardas614         Pavarde614                      8.40            8.00
Vardas641         Pavarde641                      8.40            8.00
Vardas770         Pavarde770                      8.40            8.40
Vardas811         Pavarde811                      8.40            8.00
Vardas870         Pavarde870                      8.40            8.00
Vardas914         Pavarde914                      8.40            8.40
Vardas422         Pavarde422                      8.44            9.00
Vardas528         Pavarde528                      8.44            9.00
Vardas906         Pavarde906                      8.44            9.00
Vardas233         Pavarde233                      8.48            8.00
Vardas253         Pavarde253                      8.48            7.60
Vardas349         Pavarde349                      8.48            8.40
Vardas466         Pavarde466                      8.48            8.80
Vardas48          Pavarde48                       8.48            8.80
Vardas534         Pavarde534                      8.48            8.40
Vardas621         Pavarde621                      8.48            9.20
Vardas737         Pavarde737                      8.48            8.80
Vardas750         Pavarde750                      8.48            9.20
Vardas769         Pavarde769                      8.48            8.40
Vardas965         Pavarde965                      8.48            8.40
Vardas172         Pavarde172                      8.52            9.00
Vardas540         Pavarde540                      8.52            8.60
Vardas643         Pavarde643                      8.52            9.00
Vardas699         Pavarde699                      8.52            8.60
Vardas827         Pavarde827                      8.52            9.00
Vardas164         Pavarde164                      8.56            8.80
Vardas450         Pavarde450                      8.56            8.40
Vardas501         Pavarde501                      8.56            8.40
Vardas939         Pavarde939                      8.56            8.40
Vardas171         Pavarde171                      8.64            8.80
Vardas177         Pavarde177                      8.64            8.80
Vardas249         Pavarde249                      8.64            8.80
Vardas295         Pavarde295                      8.64            9.20
Vardas584         Pavarde584                      8.64            8.80
Vardas822         Pavarde822                      8.64            8.80
Vardas271         Pavarde271                      8.72            9.20
Vardas411         Pavarde411                      8.72            9.20
Vardas533         Pavarde533                      8.72            8.80
Vardas669         Pavarde669                      8.72            8.80
Vardas940         Pavarde940                      8.72            8.80
Vardas201         Pavarde201                      8.80            8.40
Vardas343         Pavarde343                      8.80            9.20
Vardas651         Pavarde651                      8.80            8.40
Vardas747         Pavarde747                      8.80            8.80
Vardas829         Pavarde829                      8.80            9.20
Vardas832         Pavarde832                      8.80            9.20
Vardas241         Pavarde241                      8.84            9.00
Vardas117         Pavarde117                      8.88            9.20
Vardas28          Pavarde28                       8.88            9.60
Vardas792         Pavarde792                      8.88            9.20
Vardas952         Pavarde952                      8.88            9.60
Vardas1           Pavarde1                        9.04            9.20
Vardas115         Pavarde115                      9.04            9.20
Vardas775         Pavarde775                      9.04            9.60
Vardas718         Pavarde718                      9.12            9.20
Vardas49          Pavarde49                       9.28           10.00
Vardas774         Pavarde774                      9.28            9.60
Vardas400         Pavarde400                      9.84           10.00
