Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas642         Pavarde642                      2.68            3.00
Vardas839         Pavarde839                      2.68            2.20
Vardas894         Pavarde894                      2.68            1.80
Vardas108         Pavarde108                      2.72            2.40
Vardas11          Pavarde11                       2.72            2.80
Vardas4           Pavarde4                        2.72            2.80
Vardas183         Pavarde183                      2.76            2.60
Vardas364         Pavarde364                      2.76            2.20
Vardas582         Pavarde582                      2.76            2.60
Vardas65          Pavarde65                       2.76            2.60
Vardas679         Pavarde679                      2.76            2.20
Vardas684         Pavarde684                      2.76            3.00
Vardas887         Pavarde887                      2.76            2.60
Vardas943         Pavarde943                      2.76            2.20
Vardas482         Pavarde482                      2.80            2.80
Vardas812         Pavarde812                      2.80            2.40
Vardas845         Pavarde845                      2.80            2.80
Vardas880         Pavarde880                      2.80            3.20
Vardas888         Pavarde888                      2.80            2.40
Vardas917         Pavarde917                      2.80            2.40
Vardas254         Pavarde254                      2.84            2.60
Vardas427         Pavarde427                      2.84            3.00
Vardas522         Pavarde522                      2.84            2.20
Vardas715         Pavarde715                      2.84            3.80
Vardas92          Pavarde92                       2.84            3.00
Vardas96          Pavarde96                       2.84            3.00
Vardas99          Pavarde99                       2.84            3.00
Vardas195         Pavarde195                      2.88            2.40
Vardas280         Pavarde280                      2.88            2.80
Vardas548         Pavarde548                      2.88            2.40
Vardas573         Pavarde573                      2.88            2.80
Vardas174         Pavarde174                      2.92            2.20
Vardas484         Pavarde484                      2.92            3.00
Vardas54          Pavarde54                       2.92            2.60
Vardas553         Pavarde553                      2.92            3.00
Vardas690         Pavarde690                      2.92            3.00
Vardas844         Pavarde844                      2.92            2.60
Vardas912         Pavarde912                      2.92            2.60
Vardas971         Pavarde971                      2.92            3.40
Vardas244         Pavarde244                      2.96            2.80
Vardas375         Pavarde375                      2.96            2.80
Vardas865         Pavarde865                      2.96            2.40
Vardas98          Pavarde98                       2.96            2.40
Vardas579         Pavarde579                      3.00            3.00
Vardas498         Pavarde498                      3.00            3.00
Vardas601         Pavarde601                      3.00            2.60
Vardas688         Pavarde688                      3.00            3.00
Vardas752         Pavarde752                      3.00            3.00
Vardas80          Pavarde80                       3.00            3.40
Vardas500         Pavarde500                      3.04            3.20
Vardas529         Pavarde529                      3.04            3.20
Vardas853         Pavarde853                      3.04            2.40
Vardas961         Pavarde961                      3.04            2.40
Vardas921         Pavarde921                      3.08            3.00
Vardas299         Pavarde299                      3.08            3.00
Vardas380         Pavarde380                      3.08            2.60
Vardas803         Pavarde803                      3.08            3.80
Vardas843         Pavarde843                      3.08            3.80
Vardas893         Pavarde893                      3.08            3.40
Vardas298         Pavarde298                      3.12            2.40
Vardas61          Pavarde61                       3.12            3.60
Vardas259         Pavarde259                      3.16            3.00
Vardas300         Pavarde300                      3.16            2.60
Vardas319         Pavarde319                      3.16            3.40
Vardas390         Pavarde390                      3.16            3.40
Vardas516         Pavarde516                      3.16            2.60
Vardas89          Pavarde89                       3.16            3.80
Vardas990         Pavarde990                      3.16            3.00
Vardas277         Pavarde277                      3.20            3.60
Vardas804         Pavarde804                      3.20            3.60
Vardas856         Pavarde856                      3.20            3.20
Vardas237         Pavarde237                      3.24            3.40
Vardas301         Pavarde301                      3.24            3.00
Vardas423         Pavarde423                      3.24            3.00
Vardas515         Pavarde515                      3.24            2.60
Vardas622         Pavarde622                      3.24            3.40
Vardas38          Pavarde38                       3.28            3.60
Vardas443         Pavarde443                      3.28            3.60
Vardas475         Pavarde475                      3.28            3.20
Vardas637         Pavarde637                      3.28            3.20
Vardas670         Pavarde670                      3.28            3.20
Vardas768         Pavarde768                      3.28            3.20
Vardas875         Pavarde875                      3.28            3.60
Vardas33          Pavarde33                       3.32            3.40
Vardas766         Pavarde766                      3.32            3.00
Vardas895         Pavarde895                      3.32            3.00
Vardas999         Pavarde999                      3.32            3.00
Vardas366         Pavarde366                      3.32            3.80
Vardas554         Pavarde554                      3.32            3.80
Vardas606         Pavarde606                      3.32            4.20
Vardas140         Pavarde140                      3.36            3.20
Vardas226         Pavarde226                      3.36            3.20
Vardas590         Pavarde590                      3.36            3.60
Vardas93          Pavarde93                       3.36            4.00
Vardas973         Pavarde973                      3.36            3.20
Vardas987         Pavarde987                      3.36            3.60
Vardas163         Pavarde163                      3.40            3.40
Vardas35          Pavarde35                       3.40            3.40
Vardas720         Pavarde720                      3.40            3.00
Vardas599         Pavarde599                      3.40            3.00
Vardas668         Pavarde668                      3.40            3.80
Vardas900         Pavarde900                      3.40            3.40
Vardas162         Pavarde162                      3.44            3.20
Vardas372         Pavarde372                      3.44            3.60
Vardas384         Pavarde384                      3.44            3.20
Vardas105         Pavarde105                      3.48            3.00
Vardas401         Pavarde401                      3.48            3.80
Vardas609         Pavarde609                      3.48            3.40
Vardas929         Pavarde929                      3.48            4.20
Vardas211         Pavarde211                      3.52            3.60
Vardas270         Pavarde270                      3.52            3.60
Vardas34          Pavarde34                       3.52            3.20
Vardas397         Pavarde397                      3.52            3.20
Vardas449         Pavarde449                      3.52            3.60
Vardas453         Pavarde453                      3.52            2.80
Vardas487         Pavarde487                      3.52            3.20
Vardas541         Pavarde541                      3.52            3.60
Vardas59          Pavarde59                       3.52            3.20
Vardas72          Pavarde72                       3.52            3.60
Vardas779         Pavarde779                      3.52            3.20
Vardas85          Pavarde85                       3.52            4.00
Vardas863         Pavarde863                      3.52            3.60
Vardas994         Pavarde994                      3.52            4.00
Vardas121         Pavarde121                      3.56            3.80
Vardas412         Pavarde412                      3.56            3.40
Vardas94          Pavarde94                       3.56            3.40
Vardas258         Pavarde258                      3.60            3.20
Vardas340         Pavarde340                      3.60            3.20
Vardas138         Pavarde138                      3.60            3.60
Vardas209         Pavarde209                      3.60            3.20
Vardas681         Pavarde681                      3.60            3.20
Vardas686         Pavarde686                      3.60            4.40
Vardas87          Pavarde87                       3.60            4.00
Vardas907         Pavarde907                      3.60            3.60
Vardas908         Pavarde908                      3.60            3.20
Vardas923         Pavarde923                      3.60            3.20
Vardas157         Pavarde157                      3.64            3.40
Vardas214         Pavarde214                      3.64            3.40
Vardas392         Pavarde392                      3.64            3.40
Vardas55          Pavarde55                       3.64            3.80
Vardas755         Pavarde755                      3.64            3.40
Vardas58          Pavarde58                       3.68            4.80
Vardas889         Pavarde889                      3.68            3.60
Vardas915         Pavarde915                      3.68            3.60
Vardas112         Pavarde112                      3.72            3.80
Vardas391         Pavarde391                      3.72            3.40
Vardas43          Pavarde43                       3.72            3.80
Vardas506         Pavarde506                      3.72            3.80
Vardas86          Pavarde86                       3.72            2.60
Vardas962         Pavarde962                      3.72            3.00
Vardas663         Pavarde663                      3.72            3.80
Vardas810         Pavarde810                      3.72            3.40
Vardas849         Pavarde849                      3.72            3.80
Vardas139         Pavarde139                      3.76            3.60
Vardas631         Pavarde631                      3.76            3.60
Vardas558         Pavarde558                      3.76            4.00
Vardas569         Pavarde569                      3.76            3.60
Vardas676         Pavarde676                      3.76            4.00
Vardas447         Pavarde447                      3.80            3.80
Vardas563         Pavarde563                      3.80            3.40
Vardas726         Pavarde726                      3.80            3.40
Vardas806         Pavarde806                      3.80            3.80
Vardas819         Pavarde819                      3.80            3.40
Vardas982         Pavarde982                      3.80            3.80
Vardas613         Pavarde613                      3.80            4.20
Vardas110         Pavarde110                      3.84            4.00
Vardas273         Pavarde273                      3.84            3.60
Vardas342         Pavarde342                      3.84            3.60
Vardas426         Pavarde426                      3.84            3.60
Vardas486         Pavarde486                      3.84            4.00
Vardas707         Pavarde707                      3.84            3.60
Vardas725         Pavarde725                      3.84            3.60
Vardas84          Pavarde84                       3.84            4.40
Vardas933         Pavarde933                      3.84            4.00
Vardas964         Pavarde964                      3.84            3.60
Vardas967         Pavarde967                      3.84            4.00
Vardas132         Pavarde132                      3.88            4.20
Vardas395         Pavarde395                      3.88            3.80
Vardas440         Pavarde440                      3.88            4.20
Vardas468         Pavarde468                      3.88            3.40
Vardas513         Pavarde513                      3.88            3.80
Vardas618         Pavarde618                      3.88            3.80
Vardas619         Pavarde619                      3.88            3.80
Vardas841         Pavarde841                      3.88            3.40
Vardas905         Pavarde905                      3.88            4.20
Vardas963         Pavarde963                      3.88            3.40
Vardas978         Pavarde978                      3.88            3.80
Vardas981         Pavarde981                      3.88            4.20
Vardas178         Pavarde178                      3.92            4.00
Vardas382         Pavarde382                      3.92            3.60
Vardas428         Pavarde428                      3.92            4.00
Vardas654         Pavarde654                      3.92            4.40
Vardas665         Pavarde665                      3.92            3.60
Vardas74          Pavarde74                       3.92            4.00
Vardas896         Pavarde896                      3.92            3.60
Vardas160         Pavarde160                      3.96            4.20
Vardas165         Pavarde165                      3.96            3.40
Vardas25          Pavarde25                       3.96            3.80
Vardas365         Pavarde365                      3.96            4.20
Vardas442         Pavarde442                      3.96            4.20
Vardas446         Pavarde446                      3.96            3.80
Vardas627         Pavarde627                      3.96            3.80
Vardas64          Pavarde64                       3.96            3.40
Vardas902         Pavarde902                      3.96            3.80
Vardas155         Pavarde155                      4.00            4.00
Vardas525         Pavarde525                      4.00            4.80
Vardas611         Pavarde611                      4.00            4.80
Vardas713         Pavarde713                      4.00            3.60
Vardas751         Pavarde751                      4.00            3.60
Vardas871         Pavarde871                      4.00            3.60
Vardas955         Pavarde955                      4.00            3.60
Vardas153         Pavarde153                      4.04            4.60
Vardas193         Pavarde193                      4.04            4.20
Vardas455         Pavarde455                      4.04            3.80
Vardas567         Pavarde567                      4.04            4.60
Vardas772         Pavarde772                      4.04            4.20
Vardas785         Pavarde785                      4.04            4.60
Vardas824         Pavarde824                      4.04            3.80
Vardas878         Pavarde878                      4.04            4.20
Vardas881         Pavarde881                      4.04            3.00
Vardas240         Pavarde240                      4.08            4.80
Vardas262         Pavarde262                      4.08            4.00
Vardas352         Pavarde352                      4.08            4.40
Vardas438         Pavarde438                      4.08            4.00
Vardas488         Pavarde488                      4.08            4.40
Vardas503         Pavarde503                      4.08            5.20
Vardas635         Pavarde635                      4.08            4.00
Vardas778         Pavarde778                      4.08            4.40
Vardas289         Pavarde289                      4.12            4.20
Vardas293         Pavarde293                      4.12            3.80
Vardas431         Pavarde431                      4.12            4.20
Vardas458         Pavarde458                      4.12            3.80
Vardas605         Pavarde605                      4.12            4.20
Vardas187         Pavarde187                      4.16            4.80
Vardas406         Pavarde406                      4.16            3.60
Vardas591         Pavarde591                      4.16            4.00
Vardas7           Pavarde7                        4.16            4.40
Vardas773         Pavarde773                      4.16            4.40
Vardas308         Pavarde308                      4.20            4.20
Vardas333         Pavarde333                      4.20            4.20
Vardas441         Pavarde441                      4.20            4.60
Vardas470         Pavarde470                      4.20            3.80
Vardas551         Pavarde551                      4.20            4.60
Vardas680         Pavarde680                      4.20            4.60
Vardas687         Pavarde687                      4.20            4.20
Vardas219         Pavarde219                      4.24            5.20
Vardas325         Pavarde325                      4.24            3.60
Vardas346         Pavarde346                      4.24            3.60
Vardas348         Pavarde348                      4.24            4.00
Vardas490         Pavarde490                      4.24            4.40
Vardas739         Pavarde739                      4.24            4.80
Vardas985         Pavarde985                      4.24            4.40
Vardas159         Pavarde159                      4.28            4.60
Vardas272         Pavarde272                      4.28            4.60
Vardas595         Pavarde595                      4.28            4.20
Vardas623         Pavarde623                      4.28            4.20
Vardas192         Pavarde192                      4.32            4.00
Vardas317         Pavarde317                      4.32            4.80
Vardas512         Pavarde512                      4.32            4.40
Vardas597         Pavarde597                      4.32            4.00
Vardas660         Pavarde660                      4.32            4.40
Vardas717         Pavarde717                      4.32            4.40
Vardas729         Pavarde729                      4.32            3.60
Vardas322         Pavarde322                      4.36            3.80
Vardas409         Pavarde409                      4.36            4.60
Vardas483         Pavarde483                      4.36            5.00
Vardas136         Pavarde136                      4.40            4.40
Vardas213         Pavarde213                      4.40            3.60
Vardas602         Pavarde602                      4.40            4.40
Vardas91          Pavarde91                       4.40            4.40
Vardas954         Pavarde954                      4.40            4.80
Vardas524         Pavarde524                      4.44            4.60
Vardas821         Pavarde821                      4.44            5.00
Vardas279         Pavarde279                      4.44            4.20
Vardas286         Pavarde286                      4.44            4.20
Vardas203         Pavarde203                      4.48            4.80
Vardas232         Pavarde232                      4.48            4.00
Vardas179         Pavarde179                      4.52            4.20
Vardas416         Pavarde416                      4.52            4.20
Vardas472         Pavarde472                      4.52            5.00
Vardas830         Pavarde830                      4.52            4.60
Vardas998         Pavarde998                      4.52            5.00
Vardas491         Pavarde491                      4.56            4.00
Vardas8           Pavarde8                        4.56            4.80
Vardas916         Pavarde916                      4.56            4.40
Vardas107         Pavarde107                      4.60            5.00
Vardas509         Pavarde509                      4.60            4.20
Vardas60          Pavarde60                       4.60            4.60
Vardas664         Pavarde664                      4.60            4.20
Vardas857         Pavarde857                      4.60            4.20
Vardas874         Pavarde874                      4.60            3.40
Vardas890         Pavarde890                      4.60            5.00
Vardas10          Pavarde10                       4.64            4.80
Vardas377         Pavarde377                      4.64            4.40
Vardas418         Pavarde418                      4.64            4.40
Vardas885         Pavarde885                      4.64            4.40
Vardas988         Pavarde988                      4.64            4.80
Vardas101         Pavarde101                      4.68            5.00
Vardas186         Pavarde186                      4.68            5.00
Vardas521         Pavarde521                      4.68            5.40
Vardas547         Pavarde547                      4.68            5.00
Vardas722         Pavarde722                      4.68            5.00
Vardas808         Pavarde808                      4.68            4.60
Vardas858         Pavarde858                      4.68            5.00
Vardas920         Pavarde920                      4.68            4.60
Vardas996         Pavarde996                      4.68            4.60
Vardas336         Pavarde336                      4.72            4.40
Vardas777         Pavarde777                      4.72            5.20
Vardas794         Pavarde794                      4.72            4.80
Vardas852         Pavarde852                      4.72            4.80
Vardas251         Pavarde251                      4.76            5.40
Vardas420         Pavarde420                      4.76            5.40
Vardas575         Pavarde575                      4.76            5.00
Vardas580         Pavarde580                      4.76            4.60
Vardas444         Pavarde444                      4.80            4.40
Vardas228         Pavarde228                      4.80            5.20
Vardas363         Pavarde363                      4.80            4.80
Vardas40          Pavarde40                       4.80            4.80
Vardas229         Pavarde229                      4.84            5.00
Vardas421         Pavarde421                      4.84            5.40
Vardas636         Pavarde636                      4.84            4.60
Vardas653         Pavarde653                      4.84            5.00
Vardas840         Pavarde840                      4.84            4.60
Vardas518         Pavarde518                      4.88            4.80
Vardas222         Pavarde222                      4.88            5.20
Vardas268         Pavarde268                      4.88            4.40
Vardas290         Pavarde290                      4.88            4.80
Vardas407         Pavarde407                      4.88            5.20
Vardas814         Pavarde814                      4.88            4.80
Vardas815         Pavarde815                      4.88            4.80
Vardas122         Pavarde122                      4.92            4.20
Vardas168         Pavarde168                      4.92            4.20
Vardas19          Pavarde19                       4.92            5.40
Vardas245         Pavarde245                      4.92            5.00
Vardas36          Pavarde36                       4.92            5.00
Vardas507         Pavarde507                      4.92            5.00
Vardas576         Pavarde576                      4.92            4.20
Vardas763         Pavarde763                      4.92            5.40
Vardas937         Pavarde937                      4.92            4.60
Vardas45          Pavarde45                       4.96            4.80
Vardas546         Pavarde546                      4.96            4.40
Vardas109         Pavarde109                      4.96            5.20
Vardas404         Pavarde404                      4.96            5.60
Vardas942         Pavarde942                      4.96            4.40
Vardas983         Pavarde983                      4.96            4.80
