Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas4238        Pavarde4238                     5.16            5.40
Vardas4519        Pavarde4519                     5.16            5.00
Vardas4876        Pavarde4876                     5.16            5.00
Vardas4908        Pavarde4908                     5.16            4.60
Vardas505         Pavarde505                      5.16            4.60
Vardas5102        Pavarde5102                     5.16            5.00
Vardas564         Pavarde564                      5.16            5.40
Vardas5660        Pavarde5660                     5.16            5.80
Vardas5908        Pavarde5908                     5.16            5.80
Vardas5930        Pavarde5930                     5.16            5.80
Vardas6009        Pavarde6009                     5.16            5.40
Vardas667         Pavarde667                      5.16            5.80
Vardas6752        Pavarde6752                     5.16            5.40
Vardas6860        Pavarde6860                     5.16            5.00
Vardas7066        Pavarde7066                     5.16            4.60
Vardas7216        Pavarde7216                     5.16            4.20
Vardas7492        Pavarde7492                     5.16            5.00
Vardas7495        Pavarde7495                     5.16            5.00
Vardas7501        Pavarde7501                     5.16            4.60
Vardas7693        Pavarde7693                     5.16            5.00
Vardas7739        Pavarde7739                     5.16            5.40
Vardas7770        Pavarde7770                     5.16            5.00
Vardas7795        Pavarde7795                     5.16            5.40
Vardas7815        Pavarde7815                     5.16            5.00
Vardas8147        Pavarde8147                     5.16            5.00
Vardas8243        Pavarde8243                     5.16            5.00
Vardas8376        Pavarde8376                     5.16            5.00
Vardas8432        Pavarde8432                     5.16            5.40
Vardas8622        Pavarde8622                     5.16            5.40
Vardas8647        Pavarde8647                     5.16            5.40
Vardas9192        Pavarde9192                     5.16            5.40
Vardas9405        Pavarde9405                     5.16            5.40
Vardas947         Pavarde947                      5.16            5.40
Vardas9517        Pavarde9517                     5.16            5.00
Vardas9536        Pavarde9536                     5.16            5.00
Vardas954         Pavarde954                      5.16            5.00
Vardas130         Pavarde130                      5.20            4.80
Vardas1714        Pavarde1714                     5.20            4.80
Vardas1888        Pavarde1888                     5.20            4.80
Vardas2077        Pavarde2077                     5.20            4.80
Vardas3482        Pavarde3482                     5.20            4.40
Vardas3747        Pavarde3747                     5.20            4.80
Vardas4263        Pavarde4263                     5.20            5.20
Vardas4960        Pavarde4960                     5.20            5.20
Vardas5317        Pavarde5317                     5.20            5.20
Vardas5652        Pavarde5652                     5.20            4.40
Vardas5804        Pavarde5804                     5.20            5.20
Vardas5993        Pavarde5993                     5.20            5.20
Vardas6193        Pavarde6193                     5.20            4.80
Vardas628         Pavarde628                      5.20            5.20
Vardas6353        Pavarde6353                     5.20            5.20
Vardas6598        Pavarde6598                     5.20            5.20
Vardas6718        Pavarde6718                     5.20            4.80
Vardas6970        Pavarde6970                     5.20            4.40
Vardas7074        Pavarde7074                     5.20            5.60
Vardas7141        Pavarde7141                     5.20            5.60
Vardas7467        Pavarde7467                     5.20            4.80
Vardas7821        Pavarde7821                     5.20            4.80
Vardas8410        Pavarde8410                     5.20            4.40
Vardas860         Pavarde860                      5.20            4.40
Vardas9521        Pavarde9521                     5.20            4.80
Vardas1039        Pavarde1039                     5.20            5.60
Vardas1739        Pavarde1739                     5.20            5.20
Vardas224         Pavarde224                      5.20            5.60
Vardas2535        Pavarde2535                     5.20            5.60
Vardas2859        Pavarde2859                     5.20            6.00
Vardas2978        Pavarde2978                     5.20            5.60
Vardas370         Pavarde370                      5.20            6.40
Vardas4361        Pavarde4361                     5.20            5.60
Vardas4514        Pavarde4514                     5.20            5.60
Vardas4568        Pavarde4568                     5.20            6.00
Vardas4581        Pavarde4581                     5.20            5.60
Vardas5032        Pavarde5032                     5.20            5.20
Vardas5533        Pavarde5533                     5.20            5.20
Vardas5608        Pavarde5608                     5.20            5.60
Vardas5790        Pavarde5790                     5.20            6.00
Vardas5875        Pavarde5875                     5.20            6.00
Vardas6085        Pavarde6085                     5.20            5.20
Vardas6338        Pavarde6338                     5.20            6.00
Vardas6986        Pavarde6986                     5.20            5.60
Vardas7365        Pavarde7365                     5.20            5.20
Vardas7602        Pavarde7602                     5.20            6.40
Vardas7668        Pavarde7668                     5.20            5.20
Vardas7712        Pavarde7712                     5.20            5.60
Vardas7912        Pavarde7912                     5.20            5.60
Vardas8026        Pavarde8026                     5.20            5.60
Vardas8103        Pavarde8103                     5.20            6.00
Vardas8729        Pavarde8729                     5.20            5.60
Vardas9           Pavarde9                        5.20            5.20
Vardas9217        Pavarde9217                     5.20            5.20
Vardas9777        Pavarde9777                     5.20            6.00
Vardas9904        Pavarde9904                     5.20            5.20
Vardas1017        Pavarde1017                     5.24            5.40
Vardas148         Pavarde148                      5.24            5.40
Vardas1499        Pavarde1499                     5.24            4.60
Vardas1585        Pavarde1585                     5.24            5.00
Vardas1701        Pavarde1701                     5.24            5.00
Vardas1733        Pavarde1733                     5.24            5.40
Vardas1780        Pavarde1780                     5.24            5.00
Vardas1913        Pavarde1913                     5.24            5.00
Vardas2353        Pavarde2353                     5.24            5.80
Vardas2360        Pavarde2360                     5.24            5.40
Vardas251         Pavarde251                      5.24            4.60
Vardas2695        Pavarde2695                     5.24            5.80
Vardas2730        Pavarde2730                     5.24            5.40
Vardas2791        Pavarde2791                     5.24            5.80
Vardas2850        Pavarde2850                     5.24            5.40
Vardas3002        Pavarde3002                     5.24            5.40
Vardas324         Pavarde324                      5.24            5.40
Vardas3296        Pavarde3296                     5.24            5.40
Vardas3301        Pavarde3301                     5.24            5.40
Vardas3390        Pavarde3390                     5.24            5.80
Vardas3437        Pavarde3437                     5.24            5.40
Vardas3516        Pavarde3516                     5.24            5.80
Vardas3547        Pavarde3547                     5.24            5.40
Vardas3588        Pavarde3588                     5.24            5.80
Vardas3622        Pavarde3622                     5.24            5.40
Vardas3673        Pavarde3673                     5.24            5.40
Vardas3713        Pavarde3713                     5.24            5.00
Vardas3910        Pavarde3910                     5.24            5.80
Vardas4358        Pavarde4358                     5.24            5.40
Vardas4371        Pavarde4371                     5.24            5.40
Vardas4530        Pavarde4530                     5.24            5.00
Vardas4545        Pavarde4545                     5.24            5.80
Vardas4577        Pavarde4577                     5.24            5.00
Vardas4891        Pavarde4891                     5.24            5.40
Vardas4936        Pavarde4936                     5.24            5.00
Vardas4948        Pavarde4948                     5.24            6.20
Vardas5046        Pavarde5046                     5.24            5.40
Vardas5118        Pavarde5118                     5.24            5.40
Vardas5183        Pavarde5183                     5.24            5.80
Vardas5277        Pavarde5277                     5.24            5.40
Vardas5299        Pavarde5299                     5.24            4.20
Vardas5355        Pavarde5355                     5.24            4.60
Vardas5365        Pavarde5365                     5.24            4.60
Vardas5663        Pavarde5663                     5.24            4.60
Vardas5808        Pavarde5808                     5.24            5.40
Vardas5839        Pavarde5839                     5.24            5.40
Vardas5865        Pavarde5865                     5.24            5.00
Vardas5871        Pavarde5871                     5.24            5.00
Vardas6049        Pavarde6049                     5.24            5.80
Vardas610         Pavarde610                      5.24            5.40
Vardas6488        Pavarde6488                     5.24            5.00
Vardas6654        Pavarde6654                     5.24            5.00
Vardas6933        Pavarde6933                     5.24            5.00
Vardas7089        Pavarde7089                     5.24            5.00
Vardas7092        Pavarde7092                     5.24            5.40
Vardas7207        Pavarde7207                     5.24            5.00
Vardas7412        Pavarde7412                     5.24            5.00
Vardas7443        Pavarde7443                     5.24            5.00
Vardas7494        Pavarde7494                     5.24            5.00
Vardas7514        Pavarde7514                     5.24            5.00
Vardas7816        Pavarde7816                     5.24            4.60
Vardas8140        Pavarde8140                     5.24            5.40
Vardas8161        Pavarde8161                     5.24            5.00
Vardas8173        Pavarde8173                     5.24            4.60
Vardas8302        Pavarde8302                     5.24            5.00
Vardas8443        Pavarde8443                     5.24            5.40
Vardas8621        Pavarde8621                     5.24            5.80
Vardas8657        Pavarde8657                     5.24            5.80
Vardas8680        Pavarde8680                     5.24            5.40
Vardas8751        Pavarde8751                     5.24            5.80
Vardas9066        Pavarde9066                     5.24            5.40
Vardas9359        Pavarde9359                     5.24            5.40
Vardas9456        Pavarde9456                     5.24            5.40
Vardas946         Pavarde946                      5.24            5.80
Vardas9545        Pavarde9545                     5.24            5.00
Vardas9800        Pavarde9800                     5.24            5.00
Vardas1343        Pavarde1343                     5.28            5.20
Vardas1465        Pavarde1465                     5.28            4.80
Vardas1718        Pavarde1718                     5.28            5.60
Vardas2472        Pavarde2472                     5.28            4.80
Vardas2684        Pavarde2684                     5.28            4.80
Vardas2788        Pavarde2788                     5.28            5.60
Vardas2862        Pavarde2862                     5.28            4.80
Vardas3197        Pavarde3197                     5.28            4.80
Vardas3322        Pavarde3322                     5.28            4.80
Vardas3692        Pavarde3692                     5.28            4.40
Vardas3768        Pavarde3768                     5.28            5.20
Vardas3817        Pavarde3817                     5.28            6.00
Vardas3866        Pavarde3866                     5.28            5.60
Vardas4185        Pavarde4185                     5.28            5.20
Vardas4415        Pavarde4415                     5.28            4.80
Vardas4904        Pavarde4904                     5.28            4.80
Vardas5371        Pavarde5371                     5.28            5.20
Vardas5607        Pavarde5607                     5.28            5.60
Vardas6167        Pavarde6167                     5.28            4.80
Vardas6263        Pavarde6263                     5.28            4.80
Vardas6653        Pavarde6653                     5.28            4.80
Vardas7186        Pavarde7186                     5.28            5.60
Vardas7371        Pavarde7371                     5.28            5.20
Vardas7640        Pavarde7640                     5.28            5.20
Vardas7750        Pavarde7750                     5.28            5.20
Vardas8088        Pavarde8088                     5.28            5.20
Vardas8763        Pavarde8763                     5.28            5.20
Vardas8768        Pavarde8768                     5.28            5.60
Vardas8956        Pavarde8956                     5.28            5.20
Vardas9476        Pavarde9476                     5.28            5.20
Vardas9724        Pavarde9724                     5.28            4.40
Vardas1102        Pavarde1102                     5.28            4.80
Vardas1242        Pavarde1242                     5.28            6.00
Vardas1415        Pavarde1415                     5.28            6.00
Vardas2470        Pavarde2470                     5.28            5.20
Vardas3271        Pavarde3271                     5.28            5.60
Vardas3287        Pavarde3287                     5.28            6.00
Vardas3346        Pavarde3346                     5.28            5.60
Vardas3462        Pavarde3462                     5.28            5.20
Vardas3656        Pavarde3656                     5.28            5.20
Vardas3936        Pavarde3936                     5.28            5.20
Vardas4252        Pavarde4252                     5.28            6.00
Vardas4444        Pavarde4444                     5.28            5.20
Vardas4452        Pavarde4452                     5.28            5.20
Vardas4622        Pavarde4622                     5.28            5.60
Vardas5114        Pavarde5114                     5.28            5.20
Vardas524         Pavarde524                      5.28            6.00
Vardas5397        Pavarde5397                     5.28            5.20
Vardas5480        Pavarde5480                     5.28            5.20
Vardas6405        Pavarde6405                     5.28            5.20
Vardas6575        Pavarde6575                     5.28            6.00
Vardas6587        Pavarde6587                     5.28            5.60
Vardas6826        Pavarde6826                     5.28            5.20
Vardas6998        Pavarde6998                     5.28            5.20
Vardas7111        Pavarde7111                     5.28            6.00
Vardas7622        Pavarde7622                     5.28            5.20
Vardas792         Pavarde792                      5.28            5.60
Vardas7940        Pavarde7940                     5.28            5.60
Vardas7949        Pavarde7949                     5.28            5.20
Vardas8146        Pavarde8146                     5.28            5.20
Vardas8208        Pavarde8208                     5.28            6.00
Vardas8469        Pavarde8469                     5.28            5.20
Vardas8567        Pavarde8567                     5.28            5.60
Vardas8611        Pavarde8611                     5.28            5.20
Vardas921         Pavarde921                      5.28            6.00
Vardas9599        Pavarde9599                     5.28            5.20
Vardas9818        Pavarde9818                     5.28            5.60
Vardas1399        Pavarde1399                     5.32            5.80
Vardas1442        Pavarde1442                     5.32            5.00
Vardas1540        Pavarde1540                     5.32            5.40
Vardas1753        Pavarde1753                     5.32            4.60
Vardas177         Pavarde177                      5.32            5.40
Vardas1866        Pavarde1866                     5.32            5.00
Vardas1903        Pavarde1903                     5.32            4.60
Vardas2026        Pavarde2026                     5.32            5.40
Vardas2187        Pavarde2187                     5.32            5.00
Vardas2356        Pavarde2356                     5.32            6.20
Vardas2377        Pavarde2377                     5.32            5.00
Vardas3093        Pavarde3093                     5.32            5.40
Vardas3118        Pavarde3118                     5.32            5.80
Vardas3142        Pavarde3142                     5.32            5.80
Vardas3266        Pavarde3266                     5.32            5.40
Vardas3289        Pavarde3289                     5.32            5.40
Vardas3343        Pavarde3343                     5.32            5.80
Vardas360         Pavarde360                      5.32            5.40
Vardas4000        Pavarde4000                     5.32            5.80
Vardas462         Pavarde462                      5.32            5.40
Vardas4651        Pavarde4651                     5.32            5.40
Vardas4786        Pavarde4786                     5.32            5.00
Vardas4915        Pavarde4915                     5.32            5.00
Vardas5021        Pavarde5021                     5.32            5.40
Vardas5031        Pavarde5031                     5.32            5.40
Vardas5176        Pavarde5176                     5.32            5.40
Vardas5203        Pavarde5203                     5.32            5.80
Vardas5252        Pavarde5252                     5.32            5.80
Vardas5262        Pavarde5262                     5.32            5.00
Vardas5300        Pavarde5300                     5.32            5.40
Vardas5500        Pavarde5500                     5.32            4.60
Vardas5502        Pavarde5502                     5.32            5.40
Vardas5531        Pavarde5531                     5.32            5.40
Vardas5605        Pavarde5605                     5.32            5.40
Vardas5707        Pavarde5707                     5.32            5.80
Vardas5747        Pavarde5747                     5.32            5.80
Vardas5757        Pavarde5757                     5.32            5.40
Vardas5840        Pavarde5840                     5.32            5.40
Vardas5924        Pavarde5924                     5.32            5.00
Vardas6162        Pavarde6162                     5.32            5.40
Vardas622         Pavarde622                      5.32            5.00
Vardas6252        Pavarde6252                     5.32            5.40
Vardas6478        Pavarde6478                     5.32            5.80
Vardas7037        Pavarde7037                     5.32            5.00
Vardas7058        Pavarde7058                     5.32            5.40
Vardas7082        Pavarde7082                     5.32            5.00
Vardas7240        Pavarde7240                     5.32            5.80
Vardas7321        Pavarde7321                     5.32            5.80
Vardas7383        Pavarde7383                     5.32            5.80
Vardas770         Pavarde770                      5.32            5.80
Vardas7727        Pavarde7727                     5.32            5.40
Vardas7735        Pavarde7735                     5.32            5.40
Vardas7745        Pavarde7745                     5.32            5.40
Vardas7817        Pavarde7817                     5.32            5.40
Vardas8134        Pavarde8134                     5.32            5.40
Vardas8521        Pavarde8521                     5.32            5.40
Vardas8631        Pavarde8631                     5.32            5.40
Vardas8650        Pavarde8650                     5.32            5.80
Vardas8731        Pavarde8731                     5.32            5.00
Vardas8864        Pavarde8864                     5.32            5.40
Vardas9036        Pavarde9036                     5.32            5.40
Vardas9078        Pavarde9078                     5.32            5.40
Vardas9253        Pavarde9253                     5.32            4.60
Vardas9258        Pavarde9258                     5.32            5.40
Vardas9307        Pavarde9307                     5.32            5.00
Vardas9589        Pavarde9589                     5.32            5.40
Vardas1228        Pavarde1228                     5.36            5.60
Vardas1580        Pavarde1580                     5.36            4.40
