Name              Surname                   Final(Avg)      Final(Med)
Vardas9279        Pavarde9279                     2.04            2.20
Vardas9404        Pavarde9404                     2.04            2.60
Vardas9609        Pavarde9609                     2.04            1.00
Vardas9699        Pavarde9699                     2.04            1.80
Vardas1710        Pavarde1710                     2.08            1.60
Vardas5708        Pavarde5708                     2.08            1.60
Vardas6698        Pavarde6698                     2.08            2.00
Vardas1427        Pavarde1427                     2.12            1.80
Vardas1664        Pavarde1664                     2.12            1.80
Vardas1770        Pavarde1770                     2.12            1.80
Vardas2104        Pavarde2104                     2.12            1.80
Vardas3315        Pavarde3315                     2.12            1.40
Vardas3476        Pavarde3476                     2.12            1.80
Vardas4234        Pavarde4234                     2.12            1.80
Vardas4424        Pavarde4424                     2.12            2.20
Vardas4511        Pavarde4511                     2.12            2.20
Vardas4706        Pavarde4706                     2.12            2.20
Vardas4971        Pavarde4971                     2.12            2.20
Vardas5968        Pavarde5968                     2.12            1.40
Vardas6503        Pavarde6503                     2.12            1.80
Vardas6566        Pavarde6566                     2.12            1.80
Vardas7093        Pavarde7093                     2.12            1.80
Vardas7739        Pavarde7739                     2.12            1.80
Vardas8787        Pavarde8787                     2.12            1.80
Vardas9038        Pavarde9038                     2.12            1.80
Vardas9296        Pavarde9296                     2.12            1.40
Vardas9354        Pavarde9354                     2.12            1.40
Vardas9780        Pavarde9780                     2.12            2.20
Vardas9909        Pavarde9909                     2.12            1.80
Vardas1933        Pavarde1933                     2.16            2.00
Vardas2884        Pavarde2884                     2.16            2.00
Vardas6691        Pavarde6691                     2.16            2.00
Vardas8577        Pavarde8577                     2.16            2.40
Vardas1001        Pavarde1001                     2.20            2.20
Vardas1029        Pavarde1029                     2.20            2.20
Vardas1123        Pavarde1123                     2.20            1.40
Vardas1753        Pavarde1753                     2.20            2.60
Vardas1831        Pavarde1831                     2.20            1.40
Vardas2296        Pavarde2296                     2.20            1.80
Vardas233         Pavarde233                      2.20            1.80
Vardas2898        Pavarde2898                     2.20            2.60
Vardas3205        Pavarde3205                     2.20            2.20
Vardas3722        Pavarde3722                     2.20            2.20
Vardas4673        Pavarde4673                     2.20            1.80
Vardas5144        Pavarde5144                     2.20            1.40
Vardas530         Pavarde530                      2.20            1.40
Vardas5417        Pavarde5417                     2.20            1.80
Vardas5819        Pavarde5819                     2.20            2.20
Vardas5995        Pavarde5995                     2.20            1.40
Vardas6109        Pavarde6109                     2.20            2.20
Vardas6363        Pavarde6363                     2.20            1.80
Vardas6624        Pavarde6624                     2.20            2.20
Vardas7053        Pavarde7053                     2.20            2.60
Vardas7537        Pavarde7537                     2.20            2.20
Vardas8277        Pavarde8277                     2.20            2.20
Vardas8316        Pavarde8316                     2.20            2.20
Vardas8365        Pavarde8365                     2.20            2.20
Vardas936         Pavarde936                      2.20            2.20
Vardas9386        Pavarde9386                     2.20            2.20
Vardas9783        Pavarde9783                     2.20            2.60
Vardas3202        Pavarde3202                     2.24            2.00
Vardas4487        Pavarde4487                     2.24            2.00
Vardas5533        Pavarde5533                     2.24            2.40
Vardas1056        Pavarde1056                     2.28            1.80
Vardas1102        Pavarde1102                     2.28            1.80
Vardas1381        Pavarde1381                     2.28            2.20
Vardas1593        Pavarde1593                     2.28            1.80
Vardas1813        Pavarde1813                     2.28            2.20
Vardas2057        Pavarde2057                     2.28            1.80
Vardas2064        Pavarde2064                     2.28            2.60
Vardas2185        Pavarde2185                     2.28            2.20
Vardas2367        Pavarde2367                     2.28            2.20
Vardas3095        Pavarde3095                     2.28            1.80
Vardas3113        Pavarde3113                     2.28            2.20
Vardas3259        Pavarde3259                     2.28            2.20
Vardas3277        Pavarde3277                     2.28            1.40
Vardas3415        Pavarde3415                     2.28            2.60
Vardas346         Pavarde346                      2.28            2.60
Vardas3598        Pavarde3598                     2.28            2.20
Vardas3767        Pavarde3767                     2.28            2.20
Vardas3829        Pavarde3829                     2.28            2.20
Vardas414         Pavarde414                      2.28            1.80
Vardas4353        Pavarde4353                     2.28            1.40
Vardas4409        Pavarde4409                     2.28            1.80
Vardas4414        Pavarde4414                     2.28            1.80
Vardas4426        Pavarde4426                     2.28            1.80
Vardas4983        Pavarde4983                     2.28            2.60
Vardas5240        Pavarde5240                     2.28            1.80
Vardas5449        Pavarde5449                     2.28            1.80
Vardas5642        Pavarde5642                     2.28            2.20
Vardas6134        Pavarde6134                     2.28            1.80
Vardas6147        Pavarde6147                     2.28            1.80
Vardas6217        Pavarde6217                     2.28            2.20
Vardas6559        Pavarde6559                     2.28            2.60
Vardas66          Pavarde66                       2.28            2.60
Vardas6635        Pavarde6635                     2.28            2.20
Vardas6669        Pavarde6669                     2.28            2.60
Vardas6736        Pavarde6736                     2.28            2.20
Vardas6756        Pavarde6756                     2.28            1.40
Vardas6796        Pavarde6796                     2.28            1.80
Vardas6798        Pavarde6798                     2.28            2.20
Vardas7077        Pavarde7077                     2.28            2.20
Vardas7767        Pavarde7767                     2.28            2.20
Vardas7798        Pavarde7798                     2.28            2.20
Vardas8266        Pavarde8266                     2.28            2.20
Vardas8758        Pavarde8758                     2.28            1.80
Vardas8914        Pavarde8914                     2.28            2.60
Vardas892         Pavarde892                      2.28            1.80
Vardas9690        Pavarde9690                     2.28            1.80
Vardas9696        Pavarde9696                     2.28            2.20
Vardas9814        Pavarde9814                     2.28            2.20
Vardas9823        Pavarde9823                     2.28            2.20
Vardas9841        Pavarde9841                     2.28            2.20
Vardas9911        Pavarde9911                     2.28            1.80
Vardas9932        Pavarde9932                     2.28            2.20
Vardas999         Pavarde999                      2.28            1.80
Vardas1089        Pavarde1089                     2.32            2.00
Vardas1281        Pavarde1281                     2.32            2.00
Vardas1893        Pavarde1893                     2.32            2.40
Vardas2175        Pavarde2175                     2.32            2.00
Vardas3036        Pavarde3036                     2.32            2.00
Vardas4830        Pavarde4830                     2.32            2.00
Vardas5644        Pavarde5644                     2.32            2.00
Vardas7860        Pavarde7860                     2.32            2.00
Vardas1209        Pavarde1209                     2.36            2.60
Vardas1346        Pavarde1346                     2.36            1.80
Vardas170         Pavarde170                      2.36            2.60
Vardas2144        Pavarde2144                     2.36            2.20
Vardas219         Pavarde219                      2.36            1.80
Vardas241         Pavarde241                      2.36            1.80
Vardas3010        Pavarde3010                     2.36            1.00
Vardas3138        Pavarde3138                     2.36            2.20
Vardas3175        Pavarde3175                     2.36            2.60
Vardas3302        Pavarde3302                     2.36            2.20
Vardas3369        Pavarde3369                     2.36            1.80
Vardas3860        Pavarde3860                     2.36            1.80
Vardas4114        Pavarde4114                     2.36            2.20
Vardas4551        Pavarde4551                     2.36            2.20
Vardas4615        Pavarde4615                     2.36            2.20
Vardas4689        Pavarde4689                     2.36            2.60
Vardas4865        Pavarde4865                     2.36            2.20
Vardas4908        Pavarde4908                     2.36            1.80
Vardas5219        Pavarde5219                     2.36            1.40
Vardas5298        Pavarde5298                     2.36            2.20
Vardas5335        Pavarde5335                     2.36            2.20
Vardas5411        Pavarde5411                     2.36            2.20
Vardas5555        Pavarde5555                     2.36            1.80
Vardas5608        Pavarde5608                     2.36            1.40
Vardas6324        Pavarde6324                     2.36            3.00
Vardas6737        Pavarde6737                     2.36            1.80
Vardas6807        Pavarde6807                     2.36            2.20
Vardas6942        Pavarde6942                     2.36            1.80
Vardas7135        Pavarde7135                     2.36            1.40
Vardas7244        Pavarde7244                     2.36            2.20
Vardas7303        Pavarde7303                     2.36            2.20
Vardas7779        Pavarde7779                     2.36            2.20
Vardas8190        Pavarde8190                     2.36            2.20
Vardas8853        Pavarde8853                     2.36            2.20
Vardas975         Pavarde975                      2.36            1.40
Vardas1733        Pavarde1733                     2.40            2.00
Vardas2299        Pavarde2299                     2.40            2.40
Vardas2969        Pavarde2969                     2.40            1.60
Vardas3150        Pavarde3150                     2.40            2.00
Vardas3199        Pavarde3199                     2.40            2.40
Vardas3862        Pavarde3862                     2.40            1.60
Vardas397         Pavarde397                      2.40            2.40
Vardas5191        Pavarde5191                     2.40            2.00
Vardas6048        Pavarde6048                     2.40            2.00
Vardas8044        Pavarde8044                     2.40            2.00
Vardas8462        Pavarde8462                     2.40            2.80
Vardas9569        Pavarde9569                     2.40            2.00
Vardas9675        Pavarde9675                     2.40            2.40
Vardas1147        Pavarde1147                     2.44            2.20
Vardas1380        Pavarde1380                     2.44            2.20
Vardas1420        Pavarde1420                     2.44            2.20
Vardas1459        Pavarde1459                     2.44            2.20
Vardas1647        Pavarde1647                     2.44            1.80
Vardas1792        Pavarde1792                     2.44            2.20
Vardas1806        Pavarde1806                     2.44            2.20
Vardas187         Pavarde187                      2.44            2.20
Vardas2321        Pavarde2321                     2.44            1.80
Vardas265         Pavarde265                      2.44            1.80
Vardas2790        Pavarde2790                     2.44            2.60
Vardas3213        Pavarde3213                     2.44            2.20
Vardas3461        Pavarde3461                     2.44            2.20
Vardas3505        Pavarde3505                     2.44            2.60
Vardas3607        Pavarde3607                     2.44            2.20
Vardas3608        Pavarde3608                     2.44            2.20
Vardas3664        Pavarde3664                     2.44            1.80
Vardas3777        Pavarde3777                     2.44            2.60
Vardas4097        Pavarde4097                     2.44            1.80
Vardas4463        Pavarde4463                     2.44            2.60
Vardas4507        Pavarde4507                     2.44            2.60
Vardas4864        Pavarde4864                     2.44            1.40
Vardas493         Pavarde493                      2.44            1.80
Vardas4987        Pavarde4987                     2.44            2.20
Vardas5077        Pavarde5077                     2.44            2.60
Vardas5115        Pavarde5115                     2.44            2.60
Vardas5364        Pavarde5364                     2.44            1.80
Vardas5472        Pavarde5472                     2.44            2.20
Vardas6149        Pavarde6149                     2.44            1.80
Vardas6550        Pavarde6550                     2.44            1.80
Vardas6659        Pavarde6659                     2.44            2.60
Vardas6770        Pavarde6770                     2.44            3.00
Vardas7330        Pavarde7330                     2.44            1.80
Vardas7657        Pavarde7657                     2.44            1.80
Vardas7928        Pavarde7928                     2.44            2.20
Vardas8069        Pavarde8069                     2.44            1.80
Vardas8085        Pavarde8085                     2.44            2.60
Vardas8209        Pavarde8209                     2.44            2.20
Vardas8234        Pavarde8234                     2.44            1.80
Vardas8317        Pavarde8317                     2.44            1.80
Vardas8505        Pavarde8505                     2.44            1.80
Vardas8791        Pavarde8791                     2.44            2.20
Vardas9434        Pavarde9434                     2.44            2.20
Vardas9892        Pavarde9892                     2.44            1.40
Vardas9954        Pavarde9954                     2.44            2.60
Vardas152         Pavarde152                      2.48            2.40
Vardas2682        Pavarde2682                     2.48            2.80
Vardas3873        Pavarde3873                     2.48            2.00
Vardas401         Pavarde401                      2.48            2.40
Vardas4533        Pavarde4533                     2.48            2.40
Vardas506         Pavarde506                      2.48            2.00
Vardas535         Pavarde535                      2.48            2.80
Vardas5419        Pavarde5419                     2.48            2.40
Vardas5780        Pavarde5780                     2.48            2.80
Vardas6399        Pavarde6399                     2.48            2.40
Vardas6524        Pavarde6524                     2.48            2.00
Vardas6654        Pavarde6654                     2.48            2.00
Vardas739         Pavarde739                      2.48            2.00
Vardas791         Pavarde791                      2.48            2.40
Vardas8296        Pavarde8296                     2.48            2.00
Vardas8412        Pavarde8412                     2.48            2.40
Vardas9026        Pavarde9026                     2.48            2.40
Vardas1017        Pavarde1017                     2.52            2.60
Vardas1046        Pavarde1046                     2.52            2.60
Vardas1121        Pavarde1121                     2.52            2.20
Vardas1161        Pavarde1161                     2.52            2.20
Vardas1183        Pavarde1183                     2.52            1.80
Vardas2099        Pavarde2099                     2.52            2.20
Vardas2101        Pavarde2101                     2.52            2.60
Vardas2194        Pavarde2194                     2.52            2.60
Vardas2467        Pavarde2467                     2.52            2.60
Vardas2706        Pavarde2706                     2.52            2.20
Vardas2788        Pavarde2788                     2.52            1.80
Vardas3038        Pavarde3038                     2.52            2.20
Vardas3268        Pavarde3268                     2.52            2.20
Vardas3499        Pavarde3499                     2.52            2.60
Vardas3745        Pavarde3745                     2.52            2.20
Vardas3981        Pavarde3981                     2.52            2.20
Vardas4038        Pavarde4038                     2.52            2.60
Vardas4169        Pavarde4169                     2.52            2.60
Vardas4302        Pavarde4302                     2.52            2.60
Vardas4670        Pavarde4670                     2.52            2.60
Vardas4751        Pavarde4751                     2.52            2.60
Vardas4790        Pavarde4790                     2.52            3.40
Vardas4999        Pavarde4999                     2.52            3.00
Vardas5016        Pavarde5016                     2.52            2.60
Vardas5179        Pavarde5179                     2.52            2.60
Vardas5230        Pavarde5230                     2.52            3.00
Vardas583         Pavarde583                      2.52            2.20
Vardas5877        Pavarde5877                     2.52            2.60
Vardas6           Pavarde6                        2.52            1.80
Vardas6346        Pavarde6346                     2.52            3.00
Vardas6429        Pavarde6429                     2.52            2.60
Vardas6457        Pavarde6457                     2.52            2.60
Vardas6676        Pavarde6676                     2.52            3.00
Vardas686         Pavarde686                      2.52            2.60
Vardas6994        Pavarde6994                     2.52            2.60
Vardas7169        Pavarde7169                     2.52            2.20
Vardas7255        Pavarde7255                     2.52            2.20
Vardas7259        Pavarde7259                     2.52            2.60
Vardas747         Pavarde747                      2.52            2.60
Vardas821         Pavarde821                      2.52            2.20
Vardas8524        Pavarde8524                     2.52            3.00
Vardas9218        Pavarde9218                     2.52            2.20
Vardas9273        Pavarde9273                     2.52            3.00
Vardas9422        Pavarde9422                     2.52            1.80
Vardas9495        Pavarde9495                     2.52            2.20
Vardas9536        Pavarde9536                     2.52            2.20
Vardas9547        Pavarde9547                     2.52            1.80
Vardas960         Pavarde960                      2.52            2.60
Vardas9657        Pavarde9657                     2.52            2.60
Vardas9754        Pavarde9754                     2.52            2.60
Vardas9969        Pavarde9969                     2.52            3.00
Vardas1094        Pavarde1094                     2.56            2.40
Vardas1135        Pavarde1135                     2.56            2.40
Vardas163         Pavarde163                      2.56            2.00
Vardas1715        Pavarde1715                     2.56            2.00
Vardas3421        Pavarde3421                     2.56            2.40
Vardas3594        Pavarde3594                     2.56            2.00
Vardas3803        Pavarde3803                     2.56            2.40
Vardas4220        Pavarde4220                     2.56            2.00
Vardas4548        Pavarde4548                     2.56            2.00
Vardas532         Pavarde532                      2.56            2.00
Vardas6266        Pavarde6266                     2.56            2.40
Vardas7124        Pavarde7124                     2.56            2.00
Vardas8306        Pavarde8306                     2.56            2.00
Vardas842         Pavarde842                      2.56            2.40
Vardas843         Pavarde843                      2.56            2.40
Vardas9537        Pavarde9537                     2.56            2.00
Vardas9599        Pavarde9599                     2.56            2.00
Vardas9925        Pavarde9925                     2.56            2.00
Vardas4213        Pavarde4213                     2.60            2.20
Vardas8662        Pavarde8662                     2.60            2.60
Vardas8991        Pavarde8991                     2.60            2.60
Vardas1247        Pavarde1247                     2.60            2.60
Vardas1498        Pavarde1498                     2.60            2.20
Vardas1672        Pavarde1672                     2.60            2.20
Vardas2001        Pavarde2001                     2.60            2.60
Vardas2128        Pavarde2128                     2.60            2.60
Vardas2197        Pavarde2197                     2.60            2.60
Vardas2347        Pavarde2347                     2.60            2.60
Vardas253         Pavarde253                      2.60            2.60
Vardas2584        Pavarde2584                     2.60            3.00
Vardas2693        Pavarde2693                     2.60            2.20
Vardas28          Pavarde28                       2.60            2.60
Vardas281         Pavarde281                      2.60            2.60
Vardas2826        Pavarde2826                     2.60            2.20
Vardas2882        Pavarde2882                     2.60            3.00
Vardas3003        Pavarde3003                     2.60            2.60
Vardas318         Pavarde318                      2.60            2.60
Vardas321         Pavarde321                      2.60            2.20
Vardas3256        Pavarde3256                     2.60            2.60
Vardas3359        Pavarde3359                     2.60            3.00
Vardas3485        Pavarde3485                     2.60            2.20
Vardas3563        Pavarde3563                     2.60            2.20
Vardas38          Pavarde38                       2.60            3.00
Vardas3874        Pavarde3874                     2.60            2.20
Vardas4575        Pavarde4575                     2.60            2.60
Vardas4720        Pavarde4720                     2.60            1.80
Vardas4834        Pavarde4834                     2.60            2.20
Vardas5130        Pavarde5130                     2.60            2.60
Vardas5304        Pavarde5304                     2.60            2.60
Vardas5578        Pavarde5578                     2.60            3.00
Vardas5949        Pavarde5949                     2.60            2.20
Vardas6066        Pavarde6066                     2.60            2.60
Vardas6293        Pavarde6293                     2.60            2.20
Vardas6345        Pavarde6345                     2.60            2.60
Vardas6547        Pavarde6547                     2.60            2.60
Vardas6646        Pavarde6646                     2.60            2.60
Vardas6733        Pavarde6733                     2.60            3.00
Vardas6852        Pavarde6852                     2.60            2.60
Vardas6936        Pavarde6936                     2.60            2.20
Vardas7184        Pavarde7184                     2.60            3.00
Vardas7290        Pavarde7290                     2.60            2.60
Vardas7517        Pavarde7517                     2.60            2.60
Vardas7543        Pavarde7543                     2.60            3.00
Vardas7664        Pavarde7664                     2.60            2.60
Vardas8269        Pavarde8269                     2.60            2.60
Vardas8338        Pavarde8338                     2.60            2.20
Vardas87          Pavarde87                       2.60            2.20
Vardas8794        Pavarde8794                     2.60            2.60
Vardas9197        Pavarde9197                     2.60            3.00
Vardas9210        Pavarde9210                     2.60            1.80
Vardas9249        Pavarde9249                     2.60            2.60
Vardas9410        Pavarde9410                     2.60            2.60
Vardas9494        Pavarde9494                     2.60            2.60
Vardas9746        Pavarde9746                     2.60            1.80
Vardas9876        Pavarde9876                     2.60            2.60
Vardas9900        Pavarde9900                     2.60            1.80
Vardas9941        Pavarde9941                     2.60            2.20
Vardas9952        Pavarde9952                     2.60            3.00
Vardas1309        Pavarde1309                     2.64            2.40
Vardas197         Pavarde197                      2.64            2.40
Vardas2033        Pavarde2033                     2.64            2.00
Vardas2484        Pavarde2484                     2.64            2.40
Vardas3894        Pavarde3894                     2.64            2.40
Vardas469         Pavarde469                      2.64            2.00
Vardas5186        Pavarde5186                     2.64            2.40
Vardas5348        Pavarde5348                     2.64            2.80
Vardas6159        Pavarde6159                     2.64            2.00
Vardas6239        Pavarde6239                     2.64            2.40
Vardas6938        Pavarde6938                     2.64            2.40
Vardas7068        Pavarde7068                     2.64            1.60
Vardas7284        Pavarde7284                     2.64            2.80
Vardas764         Pavarde764                      2.64            2.00
Vardas7760        Pavarde7760                     2.64            2.40
Vardas7845        Pavarde7845                     2.64            2.40
Vardas7916        Pavarde7916                     2.64            3.20
Vardas8869        Pavarde8869                     2.64            2.40
Vardas9240        Pavarde9240                     2.64            2.80
Vardas230         Pavarde230                      2.68            2.60
Vardas2939        Pavarde2939                     2.68            2.60
Vardas9349        Pavarde9349                     2.68            2.20
Vardas9883        Pavarde9883                     2.68            3.00
Vardas1090        Pavarde1090                     2.68            3.00
Vardas1165        Pavarde1165                     2.68            2.60
Vardas1504        Pavarde1504                     2.68            3.00
Vardas1510        Pavarde1510                     2.68            3.40
Vardas1609        Pavarde1609                     2.68            2.20
Vardas1837        Pavarde1837                     2.68            3.00
Vardas1912        Pavarde1912                     2.68            2.60
Vardas2073        Pavarde2073                     2.68            3.00
Vardas2262        Pavarde2262                     2.68            3.00
Vardas2392        Pavarde2392                     2.68            2.60
Vardas2457        Pavarde2457                     2.68            2.60
Vardas2807        Pavarde2807                     2.68            3.00
Vardas282         Pavarde282                      2.68            1.80
Vardas2929        Pavarde2929                     2.68            3.00
Vardas3024        Pavarde3024                     2.68            1.80
Vardas3139        Pavarde3139                     2.68            2.60
Vardas3305        Pavarde3305                     2.68            3.40
Vardas3318        Pavarde3318                     2.68            3.00
Vardas3897        Pavarde3897                     2.68            3.00
Vardas3913        Pavarde3913                     2.68            3.00
Vardas4101        Pavarde4101                     2.68            2.20
Vardas417         Pavarde417                      2.68            2.60
Vardas4402        Pavarde4402                     2.68            2.60
Vardas4441        Pavarde4441                     2.68            3.40
Vardas4527        Pavarde4527                     2.68            3.00
Vardas4542        Pavarde4542                     2.68            3.00
Vardas4557        Pavarde4557                     2.68            2.20
Vardas4745        Pavarde4745                     2.68            2.60
Vardas486         Pavarde486                      2.68            2.60
Vardas5086        Pavarde5086                     2.68            2.60
Vardas5104        Pavarde5104                     2.68            3.40
Vardas5742        Pavarde5742                     2.68            2.60
Vardas5771        Pavarde5771                     2.68            3.00
Vardas5848        Pavarde5848                     2.68            2.60
Vardas6323        Pavarde6323                     2.68            3.00
Vardas6328        Pavarde6328                     2.68            2.60
Vardas6801        Pavarde6801                     2.68            3.00
Vardas7013        Pavarde7013                     2.68            2.60
Vardas7159        Pavarde7159                     2.68            2.20
Vardas7343        Pavarde7343                     2.68            2.60
Vardas7366        Pavarde7366                     2.68            2.20
Vardas7414        Pavarde7414                     2.68            2.60
Vardas742         Pavarde742                      2.68            3.00
Vardas7476        Pavarde7476                     2.68            2.20
Vardas7478        Pavarde7478                     2.68            3.00
Vardas7491        Pavarde7491                     2.68            2.20
Vardas7565        Pavarde7565                     2.68            3.00
Vardas7753        Pavarde7753                     2.68            2.60
Vardas7857        Pavarde7857                     2.68            2.60
Vardas7959        Pavarde7959                     2.68            3.00
Vardas8126        Pavarde8126                     2.68            2.20
Vardas8233        Pavarde8233                     2.68            2.20
Vardas8437        Pavarde8437                     2.68            2.60
Vardas8482        Pavarde8482                     2.68            2.60
Vardas8485        Pavarde8485                     2.68            2.20
Vardas8567        Pavarde8567                     2.68            2.60
Vardas8793        Pavarde8793                     2.68            2.20
Vardas9205        Pavarde9205                     2.68            2.20
Vardas9416        Pavarde9416                     2.68            3.00
Vardas9610        Pavarde9610                     2.68            2.20
Vardas9698        Pavarde9698                     2.68            3.00
Vardas1099        Pavarde1099                     2.72            2.80
Vardas1279        Pavarde1279                     2.72            2.40
Vardas1314        Pavarde1314                     2.72            2.00
Vardas157         Pavarde157                      2.72            2.80
Vardas1653        Pavarde1653                     2.72            3.20
Vardas1737        Pavarde1737                     2.72            2.40
Vardas3467        Pavarde3467                     2.72            2.80
Vardas3789        Pavarde3789                     2.72            2.80
Vardas426         Pavarde426                      2.72            3.20
Vardas4292        Pavarde4292                     2.72            2.80
Vardas4375        Pavarde4375                     2.72            1.60
Vardas4854        Pavarde4854                     2.72            2.40
Vardas5222        Pavarde5222                     2.72            2.00
Vardas5362        Pavarde5362                     2.72            2.40
Vardas5446        Pavarde5446                     2.72            2.40
Vardas5611        Pavarde5611                     2.72            2.40
Vardas6879        Pavarde6879                     2.72            2.80
Vardas7344        Pavarde7344                     2.72            2.40
Vardas7428        Pavarde7428                     2.72            2.00
Vardas766         Pavarde766                      2.72            2.40
Vardas7881        Pavarde7881                     2.72            2.40
Vardas9658        Pavarde9658                     2.72            2.40
Vardas1177        Pavarde1177                     2.76            2.60
Vardas2665        Pavarde2665                     2.76            2.20
Vardas689         Pavarde689                      2.76            2.60
Vardas12          Pavarde12                       2.76            3.00
Vardas1313        Pavarde1313                     2.76            3.40
Vardas1657        Pavarde1657                     2.76            2.60
Vardas1777        Pavarde1777                     2.76            3.00
Vardas1872        Pavarde1872                     2.76            2.60
Vardas1916        Pavarde1916                     2.76            3.00
Vardas1922        Pavarde1922                     2.76            2.60
Vardas1981        Pavarde1981                     2.76            2.60
Vardas2016        Pavarde2016                     2.76            3.00
Vardas2059        Pavarde2059                     2.76            3.00
Vardas2130        Pavarde2130                     2.76            3.00
Vardas2132        Pavarde2132                     2.76            2.60
Vardas2200        Pavarde2200                     2.76            2.20
Vardas2343        Pavarde2343                     2.76            3.40
Vardas2566        Pavarde2566                     2.76            3.00
Vardas2686        Pavarde2686                     2.76            2.60
Vardas2957        Pavarde2957                     2.76            2.60
Vardas2959        Pavarde2959                     2.76            2.60
Vardas2985        Pavarde2985                     2.76            3.40
Vardas3400        Pavarde3400                     2.76            3.00
Vardas3443        Pavarde3443                     2.76            3.80
Vardas3585        Pavarde3585                     2.76            2.60
Vardas3597        Pavarde3597                     2.76            3.80
Vardas370         Pavarde370                      2.76            3.00
Vardas3778        Pavarde3778                     2.76            2.60
Vardas3985        Pavarde3985                     2.76            2.20
Vardas4547        Pavarde4547                     2.76            3.00
Vardas4558        Pavarde4558                     2.76            2.60
Vardas504         Pavarde504                      2.76            2.60
Vardas5183        Pavarde5183                     2.76            3.00
Vardas5334        Pavarde5334                     2.76            2.60
Vardas5403        Pavarde5403                     2.76            2.20
Vardas5471        Pavarde5471                     2.76            2.60
Vardas5495        Pavarde5495                     2.76            2.60
Vardas5543        Pavarde5543                     2.76            1.80
